# c0 + a0 * ((((ThermalCond_std-1.165009e+02) / (V_molar-1.809604e+01))+1.226515e+00) * ((EA_std + 5.747252e+00*lambda4w_low)-2.134561e-01)) + a1 * ((((EA_wtd_range+2.159252e-01) * (ThermalCond_wtd_range-7.686571e+01))+2.308113e+01) * (((EA_std+1.906461e-01) / (at_mass_wtd_mean+1.065889e+02))-4.124160e-03)) + a2 * ((((at_rad_wtd_range+1.078401e-01) / (V_molar-6.663988e+00))+1.287830e-02) * ((cbrt(lambda-6.890002e-01))+3.812398e-01)) + a3 * ((((EA_wtd_mean-1.821640e+00) * (PE_wtd_range+8.826283e-02))+1.906249e-01) * (((at_mass_wtd_range+8.735901e+01) / (lambda4w_low-4.695053e-02))+6.804012e+01)) + a4 * ((((at_mass_wtd_mean-3.926478e+01) / (density-2.713597e+00))-3.239353e+02) * (((EA_wtd_std-7.776789e-01) * (lambda4w_low-1.325219e-02))+2.141926e-01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 0.993201725012737; Max AE: 2.36086513346827
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  6.075911898270703e-02,  2.562066665534944e+01,  4.850197747209510e+01,  7.644860151722467e-04,  2.022907657068287e-01,  1.608025175569180e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; W * cm^-3 * eV * mK^-1 * mol;                     41|6|div|35|2|add|mult:1.2265153135479e+00,-2.1345605131541e-01,5.7472518710325e+00,0.0000000000000e+00,-1.1650087906133e+02,-1.8096035085827e+01; ((((ThermalCond_std-1.165009e+02) / (V_molar-1.809604e+01))+1.226515e+00) * ((EA_std + 5.747252e+00*lambda4w_low)-2.134561e-01)); $\left(\left(\left(\frac{ ThermalCond_{std} -1.165e+02 }{ V_{molar}-1.810e+01 } \right)+1.227e+00\right) * \left(\left(EA_{std} + 5.75lambda4w_{low}\right)-2.135e-01\right)\right)$; ((((ThermalCond_std-1.165009e+02) ./ (V_molar-1.809604e+01))+1.226515e+00) .* ((EA_std + (5.747252e+00.*lambda4w_low))-2.134561e-01)); ((((newdata$ThermalCond_std-1.165009e+02) / (newdata$V_molar-1.809604e+01))+1.226515e+00) * ((newdata$EA_std + (5.747252e+00*newdata$lambda4w_low))-2.134561e-01)); ThermalCond_std,V_molar,EA_std,lambda4w_low
# 1;  2; W * eV^2 * g^-1 * mK^-1 * mol;                    34|40|mult|35|8|div|mult:2.3081132240880e+01,-4.1241599878683e-03,1.9064605287146e-01,1.0658893376185e+02,2.1592521529435e-01,-7.6865707608624e+01; ((((EA_wtd_range+2.159252e-01) * (ThermalCond_wtd_range-7.686571e+01))+2.308113e+01) * (((EA_std+1.906461e-01) / (at_mass_wtd_mean+1.065889e+02))-4.124160e-03)); $\left(\left(\left(\left(EA_{wtd, range}+2.159e-01\right) * \left(ThermalCond_{wtd, range}-7.687e+01\right)\right)+2.308e+01\right) * \left(\left(\frac{ EA_{std} +1.906e-01 }{ at_{mass, wtd, mean}+1.066e+02 } \right)-4.124e-03\right)\right)$; ((((EA_wtd_range+2.159252e-01) .* (ThermalCond_wtd_range-7.686571e+01))+2.308113e+01) .* (((EA_std+1.906461e-01) ./ (at_mass_wtd_mean+1.065889e+02))-4.124160e-03)); ((((newdata$EA_wtd_range+2.159252e-01) * (newdata$ThermalCond_wtd_range-7.686571e+01))+2.308113e+01) * (((newdata$EA_std+1.906461e-01) / (newdata$at_mass_wtd_mean+1.065889e+02))-4.124160e-03)); EA_wtd_range,ThermalCond_wtd_range,EA_std,at_mass_wtd_mean
# 2;  2; AA * cm^-3 * mol;                                 16|6|div|0|cbrt|mult:1.2878296058715e-02,3.8123983286675e-01,1.0000000000000e+00,-6.8900023228034e-01,1.0784007430940e-01,-6.6639879798040e+00; ((((at_rad_wtd_range+1.078401e-01) / (V_molar-6.663988e+00))+1.287830e-02) * ((cbrt(lambda-6.890002e-01))+3.812398e-01)); $\left(\left(\left(\frac{ at_{rad, wtd, range} +1.078e-01 }{ V_{molar}-6.664e+00 } \right)+1.288e-02\right) * \left(\left(\sqrt[3]{lambda-6.890e-01 }\right)+3.812e-01\right)\right)$; ((((at_rad_wtd_range+1.078401e-01) ./ (V_molar-6.663988e+00))+1.287830e-02) .* (nthroot(lambda-6.890002e-01, 3)+3.812398e-01)); ((((newdata$at_rad_wtd_range+1.078401e-01) / (newdata$V_molar-6.663988e+00))+1.287830e-02) * (nthroot(newdata$lambda-6.890002e-01, 3)+3.812398e-01)); at_rad_wtd_range,V_molar,lambda
# 3;  2; g * mol^-1;                                       32|28|mult|10|2|div|mult:1.9062494102458e-01,6.8040121733476e+01,8.7359011090020e+01,-4.6950527676396e-02,-1.8216404032832e+00,8.8262829911965e-02; ((((EA_wtd_mean-1.821640e+00) * (PE_wtd_range+8.826283e-02))+1.906249e-01) * (((at_mass_wtd_range+8.735901e+01) / (lambda4w_low-4.695053e-02))+6.804012e+01)); $\left(\left(\left(\left(EA_{wtd, mean}-1.822e+00\right) * \left(PE_{wtd, range}+8.826e-02\right)\right)+1.906e-01\right) * \left(\left(\frac{ at_{mass, wtd, range} +8.736e+01 }{ lambda4w_{low}-4.695e-02 } \right)+6.804e+01\right)\right)$; ((((EA_wtd_mean-1.821640e+00) .* (PE_wtd_range+8.826283e-02))+1.906249e-01) .* (((at_mass_wtd_range+8.735901e+01) ./ (lambda4w_low-4.695053e-02))+6.804012e+01)); ((((newdata$EA_wtd_mean-1.821640e+00) * (newdata$PE_wtd_range+8.826283e-02))+1.906249e-01) * (((newdata$at_mass_wtd_range+8.735901e+01) / (newdata$lambda4w_low-4.695053e-02))+6.804012e+01)); EA_wtd_mean,PE_wtd_range,at_mass_wtd_range,lambda4w_low
# 4;  2; cm^3 * eV^2 * mol^-1;                             8|5|div|36|2|mult|mult:-3.2393530187878e+02,2.1419256002233e-01,-7.7767886760207e-01,-1.3252186955140e-02,-3.9264777739543e+01,-2.7135969002832e+00; ((((at_mass_wtd_mean-3.926478e+01) / (density-2.713597e+00))-3.239353e+02) * (((EA_wtd_std-7.776789e-01) * (lambda4w_low-1.325219e-02))+2.141926e-01)); $\left(\left(\left(\frac{ at_{mass, wtd, mean} -3.926e+01 }{ density-2.714e+00 } \right)-3.239e+02\right) * \left(\left(\left(EA_{wtd, std}-7.777e-01\right) * \left(lambda4w_{low}-1.325e-02\right)\right)+2.142e-01\right)\right)$; ((((at_mass_wtd_mean-3.926478e+01) ./ (density-2.713597e+00))-3.239353e+02) .* (((EA_wtd_std-7.776789e-01) .* (lambda4w_low-1.325219e-02))+2.141926e-01)); ((((newdata$at_mass_wtd_mean-3.926478e+01) / (newdata$density-2.713597e+00))-3.239353e+02) * (((newdata$EA_wtd_std-7.776789e-01) * (newdata$lambda4w_low-1.325219e-02))+2.141926e-01)); at_mass_wtd_mean,density,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02, -3.997328651390826e-01,  2.003468943880251e-02,  6.689933821473729e-04, -4.669318005099806e-03,  2.149173552352712e+02, -8.125023436300062e+01
Se2Ta1      ,  1.250000000000000e-01, -1.011645299879991e+00, -3.849676275315078e+01, -1.667428624532160e-02,  4.539546776774357e-02, -1.737253294416636e+00, -8.169479772747162e+01
Ti1         ,  1.620000000000000e-01,  4.498353325357854e-01, -3.190966967088737e+00, -1.873748193408600e-02, -9.058554390212482e-03, -6.782198783853084e+01, -7.150728057312931e+01
B1Mo1       ,  2.500000000000000e-01,  8.850170277635777e-01,  4.639197659531856e-01, -2.006552243000844e-02, -8.919811645104195e-03,  1.053679246618852e+01, -7.061497196793849e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.153191843794471e+00, -1.819617593608277e-01, -7.469611155417780e-03, -1.990851740763102e-03,  4.880867626103563e+02, -6.921325779382767e+01
Pt1Te1      ,  5.900000000000000e-01,  1.703713354234471e+00,  1.059952090731575e+00, -3.309173088004577e-02,  1.674427209619666e-02, -6.268435496708660e+02, -6.884162548221464e+01
Sb1V3       ,  6.500000000000000e-01,  2.181732689667448e+00, -3.731875209129959e-01,  1.210315102922130e-02, -3.302375854712122e-03,  2.302162306084848e+02, -7.020469075229853e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.050865133468268e+00, -9.540995248725659e-02, -1.353612557745092e-02,  2.348188273654465e-02,  3.055899716025727e+02, -6.945112889563038e+01
Rh1Te2      ,  7.550000000000000e-01,  1.150178904961070e+00, -1.433723465523464e-01, -2.341261289843664e-02, -5.568140687417475e-03, -3.434000836055124e+02, -6.816388518169867e+01
Zr1         ,  9.966666670000000e-01,  1.761871723109162e+00, -5.259840276710485e+00, -2.049155470841887e-02,  1.257373761523838e-02, -1.290980190667024e+02, -6.913289857039184e+01
Be2Ta3      ,  1.000000000000000e+00,  2.865820555284021e-01,  4.643920876232380e-02, -4.594230054320451e-02, -7.868195179029248e-03,  2.795122477216827e+01, -7.048845844880462e+01
C1Si1       ,  1.075000000000000e+00,  4.359201919377765e-01, -1.818381355597629e+00, -6.795081114557942e-03, -6.821573904874601e-03,  3.332260222254267e+01, -7.441945554661974e+01
Nb3Sb1      ,  1.100000000000000e+00,  1.849243916460951e+00,  2.944891631593340e-01, -1.263755890709470e-02,  1.648736067743099e-03,  8.053774271280217e+01, -6.953681224993302e+01
Nb1O1       ,  1.380000000000000e+00,  2.210931802823010e+00,  2.275933716443335e+00,  2.182567358122345e-03, -1.553071602475127e-02,  1.246727254364464e+03, -7.050918796603514e+01
Sb1         ,  1.416666667000000e+00,  2.168982143272564e+00, -1.961277447810042e+01, -2.132726281932325e-02,  2.595026605325079e-02, -3.180722024283768e+02, -6.519661659203128e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.522718575944818e+00,  5.946219928406057e-01, -2.239224307546410e-02,  1.573910529928737e-02, -1.996317324090115e+02, -6.738181897762840e+01
S2Ta1       ,  1.488116666500000e+00,  2.239339230711599e+00, -8.134548403575653e+00, -4.388491835277502e-02,  4.160251113833473e-02,  3.392705555589683e+00, -7.040707642062792e+01
B2C2Y1      ,  1.800000000000000e+00,  1.869843338810550e+00, -9.883612953032964e-01,  6.362041122310843e-03, -7.603422453658807e-03,  8.189934105004722e+02, -7.202841970349100e+01
Re2Y1       ,  1.830000000000000e+00,  2.340546679324661e+00,  7.296532186591586e-01, -1.554459714566502e-02, -3.742628025827510e-03,  1.227752144570404e+03, -6.991347161272948e+01
S1Y1        ,  1.900000000000000e+00,  6.281943491888814e-01, -1.086066880327898e+01, -1.207584268727787e-01,  2.632615381769531e-02,  7.605284804041466e+02, -6.701514622852198e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.339068835549387e+00, -4.329459311661994e+00, -3.415715436926583e-02,  1.631519390561619e-02,  2.557116980821022e+02, -6.717957123540667e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.118474442450013e+00, -4.270140835447344e-01,  1.413001826972509e-02, -1.287898493882173e-03, -1.187652812351462e+02, -6.992208829653299e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.220654216696925e+00, -3.294087334988237e-01,  6.085361601634360e-03,  2.854041573290065e-03,  9.723206283972468e+02, -6.860049251339547e+01
Be2Nb1      ,  2.150000000000000e+00,  1.048272499809876e+00, -4.646585957064638e+00,  4.085567985126149e-03, -8.877304792264843e-03, -9.561628971669809e+01, -7.094079435013522e+01
In1Te1      ,  2.206000000000000e+00,  3.434098070222345e+00, -2.137949061647752e+00, -6.165986736882671e-03,  1.716382980110396e-02, -4.269499267108666e+01, -6.504556453095562e+01
C2Cl2Y2     ,  2.300000000000000e+00,  2.320495705674587e+00, -2.363474463883080e+00, -2.606362497039314e-02,  4.093736886418172e-02, -7.195832374033359e+02, -7.110466929653670e+01
Be2Nb3      ,  2.300000000000000e+00,  1.428183272778467e+00, -1.961168420420537e-01, -4.441956337144114e-03, -6.054778217793148e-03, -1.580803266825820e+02, -6.976011855366963e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.939500672039427e+00,  3.147312223430956e-01, -2.329503774263585e-02,  2.394861294410805e-02,  1.705968022443552e+03, -6.934959789530853e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.707989556846060e+00, -2.070108523113134e+00, -2.386999730252948e-02,  1.854710548147072e-02,  1.101580640362252e+03, -6.612577308938101e+01
Bi1Nb3      ,  2.516666667000000e+00,  1.439183351970858e+00,  3.845717012733187e-01, -2.863576313509567e-02,  1.803292456198817e-03,  9.953470512150881e+01, -6.967358787089817e+01
Re1         ,  2.581333333000000e+00,  3.713762287174170e+00, -2.536580084612730e+00, -2.251878459623696e-02,  5.230980552933559e-02, -8.663291388864080e+01, -6.973290220473726e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.577590836696334e+00, -6.839386015833042e-02,  2.160127917203999e-03,  1.408502183384161e-02,  1.038819554779145e+03, -6.936136540971847e+01
Nb3Rh1      ,  2.742333333000000e+00,  1.349186597501052e+00,  1.486116335389887e-01, -2.709821620921705e-02, -1.168326595313342e-03,  2.112576667558328e+02, -6.995206942762272e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.110491065450454e+00, -1.149199040266610e+00,  3.640639929744938e-03,  3.016121858251746e-02,  3.738312468252195e+02, -6.793132374336419e+01
N1Ni3Zn1    ,  3.000000000000000e+00,  3.773362009304668e+00, -3.399982878133817e+00, -6.588082285473256e-03,  3.368868143325160e-02, -8.595452210255858e+02, -6.381100019062080e+01
B1Hf1       ,  3.100000000000000e+00,  2.535483340469542e+00, -5.154163952836581e+00,  8.593365380792171e-03, -1.680793582324307e-02,  2.126326915997534e+03, -7.050298475416778e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  2.864432859336203e+00, -3.966679355783991e+00, -2.710594495940079e-02,  2.075620060770932e-02,  5.871300916631908e+02, -6.790178505518033e+01
