# c0 + a0 * ((((ThermalCond_wtd_range-9.916174e+01) / (V_molar-1.810769e+01))-2.311874e+00) * ((EA_wtd_std + 2.616112e+00*lambda4w_low)-1.972921e-01)) + a1 * ((((at_rad_wtd_range+1.078401e-01) / (V_molar-6.663988e+00))+1.287830e-02) * ((cbrt(lambda-6.890002e-01))+3.812398e-01)) + a2 * ((((EA_wtd_mean-1.821640e+00) * (PE_wtd_range+8.826283e-02))+1.906249e-01) * (((at_mass_wtd_range+8.735901e+01) / (lambda4w_low-4.695053e-02))+6.804012e+01)) + a3 * ((((at_mass_wtd_mean-3.926478e+01) / (density-2.713597e+00))-3.239353e+02) * (((EA_wtd_std-7.776789e-01) * (lambda4w_low-1.325219e-02))+2.141926e-01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.13952308839418; Max AE: 2.47630720375847
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  8.770359963772201e-02,  4.892678450172411e+01,  7.580747651076441e-04,  2.011076627456683e-01,  1.582646703299586e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; W * cm^-3 * eV * mK^-1 * mol;                     40|6|div|36|2|add|mult:-2.3118742086248e+00,-1.9729208520774e-01,2.6161119472760e+00,0.0000000000000e+00,-9.9161738475554e+01,-1.8107691585601e+01; ((((ThermalCond_wtd_range-9.916174e+01) / (V_molar-1.810769e+01))-2.311874e+00) * ((EA_wtd_std + 2.616112e+00*lambda4w_low)-1.972921e-01)); $\left(\left(\left(\frac{ ThermalCond_{wtd, range} -9.916e+01 }{ V_{molar}-1.811e+01 } \right)-2.312e+00\right) * \left(\left(EA_{wtd, std} + 2.62lambda4w_{low}\right)-1.973e-01\right)\right)$; ((((ThermalCond_wtd_range-9.916174e+01) ./ (V_molar-1.810769e+01))-2.311874e+00) .* ((EA_wtd_std + (2.616112e+00.*lambda4w_low))-1.972921e-01)); ((((newdata$ThermalCond_wtd_range-9.916174e+01) / (newdata$V_molar-1.810769e+01))-2.311874e+00) * ((newdata$EA_wtd_std + (2.616112e+00*newdata$lambda4w_low))-1.972921e-01)); ThermalCond_wtd_range,V_molar,EA_wtd_std,lambda4w_low
# 1;  2; AA * cm^-3 * mol;                                 16|6|div|0|cbrt|mult:1.2878296058715e-02,3.8123983286675e-01,1.0000000000000e+00,-6.8900023228034e-01,1.0784007430940e-01,-6.6639879798040e+00; ((((at_rad_wtd_range+1.078401e-01) / (V_molar-6.663988e+00))+1.287830e-02) * ((cbrt(lambda-6.890002e-01))+3.812398e-01)); $\left(\left(\left(\frac{ at_{rad, wtd, range} +1.078e-01 }{ V_{molar}-6.664e+00 } \right)+1.288e-02\right) * \left(\left(\sqrt[3]{lambda-6.890e-01 }\right)+3.812e-01\right)\right)$; ((((at_rad_wtd_range+1.078401e-01) ./ (V_molar-6.663988e+00))+1.287830e-02) .* (nthroot(lambda-6.890002e-01, 3)+3.812398e-01)); ((((newdata$at_rad_wtd_range+1.078401e-01) / (newdata$V_molar-6.663988e+00))+1.287830e-02) * (nthroot(newdata$lambda-6.890002e-01, 3)+3.812398e-01)); at_rad_wtd_range,V_molar,lambda
# 2;  2; g * mol^-1;                                       32|28|mult|10|2|div|mult:1.9062494102458e-01,6.8040121733476e+01,8.7359011090020e+01,-4.6950527676396e-02,-1.8216404032832e+00,8.8262829911965e-02; ((((EA_wtd_mean-1.821640e+00) * (PE_wtd_range+8.826283e-02))+1.906249e-01) * (((at_mass_wtd_range+8.735901e+01) / (lambda4w_low-4.695053e-02))+6.804012e+01)); $\left(\left(\left(\left(EA_{wtd, mean}-1.822e+00\right) * \left(PE_{wtd, range}+8.826e-02\right)\right)+1.906e-01\right) * \left(\left(\frac{ at_{mass, wtd, range} +8.736e+01 }{ lambda4w_{low}-4.695e-02 } \right)+6.804e+01\right)\right)$; ((((EA_wtd_mean-1.821640e+00) .* (PE_wtd_range+8.826283e-02))+1.906249e-01) .* (((at_mass_wtd_range+8.735901e+01) ./ (lambda4w_low-4.695053e-02))+6.804012e+01)); ((((newdata$EA_wtd_mean-1.821640e+00) * (newdata$PE_wtd_range+8.826283e-02))+1.906249e-01) * (((newdata$at_mass_wtd_range+8.735901e+01) / (newdata$lambda4w_low-4.695053e-02))+6.804012e+01)); EA_wtd_mean,PE_wtd_range,at_mass_wtd_range,lambda4w_low
# 3;  2; cm^3 * eV^2 * mol^-1;                             8|5|div|36|2|mult|mult:-3.2393530187878e+02,2.1419256002233e-01,-7.7767886760207e-01,-1.3252186955140e-02,-3.9264777739543e+01,-2.7135969002832e+00; ((((at_mass_wtd_mean-3.926478e+01) / (density-2.713597e+00))-3.239353e+02) * (((EA_wtd_std-7.776789e-01) * (lambda4w_low-1.325219e-02))+2.141926e-01)); $\left(\left(\left(\frac{ at_{mass, wtd, mean} -3.926e+01 }{ density-2.714e+00 } \right)-3.239e+02\right) * \left(\left(\left(EA_{wtd, std}-7.777e-01\right) * \left(lambda4w_{low}-1.325e-02\right)\right)+2.142e-01\right)\right)$; ((((at_mass_wtd_mean-3.926478e+01) ./ (density-2.713597e+00))-3.239353e+02) .* (((EA_wtd_std-7.776789e-01) .* (lambda4w_low-1.325219e-02))+2.141926e-01)); ((((newdata$at_mass_wtd_mean-3.926478e+01) / (newdata$density-2.713597e+00))-3.239353e+02) * (((newdata$EA_wtd_std-7.776789e-01) * (newdata$lambda4w_low-1.325219e-02))+2.141926e-01)); at_mass_wtd_mean,density,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -5.965422591673284e-01, -1.987748477412349e-01, -4.669318005099806e-03,  2.149173552352712e+02, -8.125023436300062e+01
Se2Ta1      ,  1.250000000000000e-01, -1.511486981394185e+00, -3.566833629183067e+01,  4.539546776774357e-02, -1.737253294416636e+00, -8.169479772747162e+01
Ti1         ,  1.620000000000000e-01,  7.846417042713986e-01, -1.898932176156213e+00, -9.058554390212482e-03, -6.782198783853084e+01, -7.150728057312931e+01
B1Mo1       ,  2.500000000000000e-01,  1.217102815771725e+00,  2.312080218464066e-01, -8.919811645104195e-03,  1.053679246618852e+01, -7.061497196793849e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.054016031541132e+00, -1.433633053452830e+00, -1.990851740763102e-03,  4.880867626103563e+02, -6.921325779382767e+01
Pt1Te1      ,  5.900000000000000e-01,  2.427427758180726e+00,  1.157193206801715e+00,  1.674427209619666e-02, -6.268435496708660e+02, -6.884162548221464e+01
Sb1V3       ,  6.500000000000000e-01,  1.690543201921542e+00, -3.439886547079538e-01, -3.302375854712122e-03,  2.302162306084848e+02, -7.020469075229853e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.166307203758466e+00, -8.387191013871426e-01,  2.348188273654465e-02,  3.055899716025727e+02, -6.945112889563038e+01
Rh1Te2      ,  7.550000000000000e-01,  1.519518437150528e+00, -7.515632922290687e-01, -5.568140687417475e-03, -3.434000836055124e+02, -6.816388518169867e+01
Zr1         ,  9.966666670000000e-01,  2.119006814961798e+00, -3.667251620684946e+00,  1.257373761523838e-02, -1.290980190667024e+02, -6.913289857039184e+01
Be2Ta3      ,  1.000000000000000e+00,  1.299942494623141e+00,  1.484655436442240e-01, -7.868195179029248e-03,  2.795122477216827e+01, -7.048845844880462e+01
C1Si1       ,  1.075000000000000e+00,  4.530365821260482e-01, -1.124366969400718e+00, -6.821573904874601e-03,  3.332260222254267e+01, -7.441945554661974e+01
Nb3Sb1      ,  1.100000000000000e+00,  2.040621762643926e+00,  6.478586007320405e-01,  1.648736067743099e-03,  8.053774271280217e+01, -6.953681224993302e+01
Nb1O1       ,  1.380000000000000e+00,  1.987182566873798e+00,  1.771980329873076e+00, -1.553071602475127e-02,  1.246727254364464e+03, -7.050918796603514e+01
Sb1         ,  1.416666667000000e+00,  2.061130062109695e+00, -1.918209014103402e+01,  2.595026605325079e-02, -3.180722024283768e+02, -6.519661659203128e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.971135857447064e+00,  8.772834448917405e-01,  1.573910529928737e-02, -1.996317324090115e+02, -6.738181897762840e+01
S2Ta1       ,  1.488116666500000e+00,  2.983182865151824e+00, -8.231482091738561e+00,  4.160251113833473e-02,  3.392705555589683e+00, -7.040707642062792e+01
B2C2Y1      ,  1.800000000000000e+00,  1.440522645876593e+00, -1.702603716689892e+00, -7.603422453658807e-03,  8.189934105004722e+02, -7.202841970349100e+01
Re2Y1       ,  1.830000000000000e+00,  2.600000436634156e+00,  9.812038587878004e-01, -3.742628025827510e-03,  1.227752144570404e+03, -6.991347161272948e+01
S1Y1        ,  1.900000000000000e+00,  3.202281555671270e+00, -1.153336417961515e+01,  2.632615381769531e-02,  7.605284804041466e+02, -6.701514622852198e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.810951283930564e+00, -5.670095155654689e+00,  1.631519390561619e-02,  2.557116980821022e+02, -6.717957123540667e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.650614045210668e+00,  4.453689327883671e-01, -1.287898493882173e-03, -1.187652812351462e+02, -6.992208829653299e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.857038760804113e+00, -5.709499818114238e-01,  2.854041573290065e-03,  9.723206283972468e+02, -6.860049251339547e+01
Be2Nb1      ,  2.150000000000000e+00,  6.787992437552596e-01, -4.265596518437230e+00, -8.877304792264843e-03, -9.561628971669809e+01, -7.094079435013522e+01
In1Te1      ,  2.206000000000000e+00,  3.220886890141273e+00, -3.783467209951516e+00,  1.716382980110396e-02, -4.269499267108666e+01, -6.504556453095562e+01
C2Cl2Y2     ,  2.300000000000000e+00,  2.476728723063290e+00, -5.786311967970766e+00,  4.093736886418172e-02, -7.195832374033359e+02, -7.110466929653670e+01
Be2Nb3      ,  2.300000000000000e+00,  1.301497653206626e+00, -9.075733418361580e-01, -6.054778217793148e-03, -1.580803266825820e+02, -6.976011855366963e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.397775537505652e+00,  6.050392148073614e-01,  2.394861294410805e-02,  1.705968022443552e+03, -6.934959789530853e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.912530842854989e+00, -4.082697136451889e+00,  1.854710548147072e-02,  1.101580640362252e+03, -6.612577308938101e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.056777309355510e+00,  8.952727014876446e-01,  1.803292456198817e-03,  9.953470512150881e+01, -6.967358787089817e+01
Re1         ,  2.581333333000000e+00,  4.162194742734235e+00, -1.529329110354346e+00,  5.230980552933559e-02, -8.663291388864080e+01, -6.973290220473726e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.335195008338284e+00, -2.144457044341855e-01,  1.408502183384161e-02,  1.038819554779145e+03, -6.936136540971847e+01
Nb3Rh1      ,  2.742333333000000e+00,  1.900561069220747e+00,  4.447318086297543e-01, -1.168326595313342e-03,  2.112576667558328e+02, -6.995206942762272e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.779621999430929e+00, -1.646668613800816e+00,  3.016121858251746e-02,  3.738312468252195e+02, -6.793132374336419e+01
