# c0 + a0 * (((IP_wtd_std-9.026110e+01) / (w_log-3.013852e-02)) - (6.773327e+01*((at_mass_wtd_mean-1.708059e+02) / (lambda4w_low+4.803212e-03)))) + a1 * (((at_mass_wtd_range-5.180057e+00) / (L_avg-2.899556e+00)) - (5.465275e-01*((EA_wtd_std-8.985470e-01) / (lambda4w_low-4.720932e-02)))) + a2 * (((EA_range+4.038634e+00) / (at_mass_wtd_mean-1.514062e+01)) - (4.724367e+01*((EA_wtd_range-7.357167e-01) * (lambda4w_low-1.335052e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.57085092844125; Max AE: 4.09902683220116
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.003656970823165e-06,  1.646046996352874e-02,  1.388457972334575e+00,  3.800600973618779e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         24|1|div|8|2|div|sub:6.7733274884505e+01,0.0000000000000e+00,-1.7080592062180e+02,4.8032119248503e-03,-9.0261097607270e+01,-3.0138515227168e-02; (((IP_wtd_std-9.026110e+01) / (w_log-3.013852e-02)) - (6.773327e+01*((at_mass_wtd_mean-1.708059e+02) / (lambda4w_low+4.803212e-03)))); $\left(\left(\frac{ IP_{wtd, std} -9.026e+01 }{ w_{log}-3.014e-02 } \right) - \left(6.773e+01\left(\frac{ at_{mass, wtd, mean} -1.708e+02 }{ lambda4w_{low}+4.803e-03 } \right)\right)\right)$; (((IP_wtd_std-9.026110e+01) ./ (w_log-3.013852e-02)) - (6.773327e+01.*((at_mass_wtd_mean-1.708059e+02) ./ (lambda4w_low+4.803212e-03)))); (((newdata$IP_wtd_std-9.026110e+01) / (newdata$w_log-3.013852e-02)) - (6.773327e+01*((newdata$at_mass_wtd_mean-1.708059e+02) / (newdata$lambda4w_low+4.803212e-03)))); IP_wtd_std,w_log,at_mass_wtd_mean,lambda4w_low
# 1;  2; AA^-1 * g * mol^-1;                               10|4|div|36|2|div|sub:5.4652754454999e-01,0.0000000000000e+00,-8.9854696381878e-01,-4.7209322431436e-02,-5.1800571590851e+00,-2.8995564056240e+00; (((at_mass_wtd_range-5.180057e+00) / (L_avg-2.899556e+00)) - (5.465275e-01*((EA_wtd_std-8.985470e-01) / (lambda4w_low-4.720932e-02)))); $\left(\left(\frac{ at_{mass, wtd, range} -5.180e+00 }{ L_{avg}-2.900e+00 } \right) - \left(5.465e-01\left(\frac{ EA_{wtd, std} -8.985e-01 }{ lambda4w_{low}-4.721e-02 } \right)\right)\right)$; (((at_mass_wtd_range-5.180057e+00) ./ (L_avg-2.899556e+00)) - (5.465275e-01.*((EA_wtd_std-8.985470e-01) ./ (lambda4w_low-4.720932e-02)))); (((newdata$at_mass_wtd_range-5.180057e+00) / (newdata$L_avg-2.899556e+00)) - (5.465275e-01*((newdata$EA_wtd_std-8.985470e-01) / (newdata$lambda4w_low-4.720932e-02)))); at_mass_wtd_range,L_avg,EA_wtd_std,lambda4w_low
# 2;  2; eV * g^-1 * mol;                                  33|8|div|34|2|mult|sub:4.7243669759999e+01,0.0000000000000e+00,-7.3571671641033e-01,-1.3350519392846e-03,4.0386342370996e+00,-1.5140621741697e+01; (((EA_range+4.038634e+00) / (at_mass_wtd_mean-1.514062e+01)) - (4.724367e+01*((EA_wtd_range-7.357167e-01) * (lambda4w_low-1.335052e-03)))); $\left(\left(\frac{ EA_{range} +4.039e+00 }{ at_{mass, wtd, mean}-1.514e+01 } \right) - \left(4.724e+01\left(\left(EA_{wtd, range}-7.357e-01\right) * \left(lambda4w_{low}-1.335e-03\right)\right)\right)\right)$; (((EA_range+4.038634e+00) ./ (at_mass_wtd_mean-1.514062e+01)) - (4.724367e+01.*((EA_wtd_range-7.357167e-01) .* (lambda4w_low-1.335052e-03)))); (((newdata$EA_range+4.038634e+00) / (newdata$at_mass_wtd_mean-1.514062e+01)) - (4.724367e+01*((newdata$EA_wtd_range-7.357167e-01) * (newdata$lambda4w_low-1.335052e-03)))); EA_range,at_mass_wtd_mean,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.028685802060381e+00,  1.704348574998673e+06,  1.816121269006823e-01,  4.609612413505110e-01
Se2Ta1      ,  1.250000000000000e-01,  1.411962737333958e+00,  5.387414308846407e+03,  1.068978688107206e+01, -1.839308551506673e+00
Ti1         ,  1.620000000000000e-01,  9.205660732288820e-01,  1.391576175325987e+06, -1.564872436024993e+01,  1.194071151855786e-01
B1Mo1       ,  2.500000000000000e-01,  2.305754426012840e+00,  1.064250220553560e+06,  2.480415343658179e+01,  1.651168472223912e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.357230746012345e+00,  9.996220792582196e+05,  2.731549421689467e+01,  7.915518494745077e-02
Pt1Te1      ,  5.900000000000000e-01,  3.859718390499752e+00,  8.244397252639929e+04,  5.876708248851479e+00,  9.188141093439099e-02
Sb1V3       ,  6.500000000000000e-01,  1.731811246499315e+00,  1.117759149833524e+06,  2.929077731378086e+00,  8.830097242447746e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.580162702294334e+00,  7.427043735720407e+05,  9.150975563572512e-01,  1.819454338824129e-01
Rh1Te2      ,  7.550000000000000e-01,  2.341964285153063e+00,  7.111991728438506e+05, -4.234047073827231e+00,  2.596902264805833e-02
Zr1         ,  9.966666670000000e-01,  2.258467094556999e+00,  7.067827871631333e+05, -1.666090883347121e+01,  1.067823237491367e-01
Be2Ta3      ,  1.000000000000000e+00,  2.618827532741691e+00,  7.844494518326982e+05,  2.229901414196691e+01,  1.652330823322242e-02
C1Si1       ,  1.075000000000000e+00,  1.900413918708491e+00,  1.011890259852854e+06, -7.417279046104807e+01,  9.710145602608583e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.673640040904316e+00,  5.806738814613227e+05, -7.874261131407664e+00,  1.196466726390383e-01
Nb1O1       ,  1.380000000000000e+00,  1.826254663641192e+00,  1.223257723646985e+06,  1.836154667558419e+01,  1.256090361095648e-01
Sb1         ,  1.416666667000000e+00,  3.315412620660803e+00,  1.838576228208305e+05, -4.654338976042570e+01,  4.676593290803534e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.001558602778764e+00,  3.819551980155497e+05, -1.321322700082582e+01,  1.323488027983918e-01
S2Ta1       ,  1.488116666500000e+00,  3.567698747697427e+00,  3.290649935641325e+04,  1.880727854104608e+01, -3.432192706703419e-01
B2C2Y1      ,  1.800000000000000e+00,  1.468231909973794e+00,  1.509267021253730e+06,  5.737315957040024e+00,  4.301501516370820e-01
Re2Y1       ,  1.830000000000000e+00,  3.442655522120857e+00,  2.011966230947060e+05,  8.424381881682006e-01,  2.255497609822336e-02
S1Y1        ,  1.900000000000000e+00,  2.532526299472709e+00,  9.087716144666348e+05,  2.404788961668222e+01,  1.130407577844579e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.459880011403094e+00,  5.281019144925920e+05,  3.891506465836714e+01,  5.535195782368624e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.403807708885128e+00,  6.701774352663514e+05, -1.019918644131040e+01,  8.203044634061035e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.619268223633334e+00,  5.879553609034454e+05, -4.575952225335993e+00,  5.189241087372077e-02
In1Te1      ,  2.206000000000000e+00,  3.071136188944002e+00,  3.936237386370765e+05,  4.138808043794839e-02,  4.216252636984594e-02
C2Cl2Y2     ,  2.300000000000000e+00,  3.058353604383984e+00,  2.584181239401139e+05,  2.261465403990584e+01, -4.297673672983279e-01
Be2Nb3      ,  2.300000000000000e+00,  1.364117728392701e+00,  1.358009530688142e+06,  8.541245312445177e+00,  1.036467133556138e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.241507300396273e+00,  3.605975651132457e+05,  6.932935124782869e+00,  3.550757918515298e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.167825557580347e+00,  4.825802816056429e+05,  1.544150687000514e+01,  5.760020882929980e-02
Bi1Nb3      ,  2.516666667000000e+00,  3.129997781160813e+00,  4.388516452985645e+05,  5.154131395214492e+00,  8.921086792021461e-02
Re1         ,  2.581333333000000e+00,  3.813370175091862e+00, -1.015516142533897e+05, -2.411698946177754e+01,  1.485616319919527e-01
