# c0 + a0 * ((at_mass_wtd_mean * density) / (|PE_wtd_mean - lambda3|)) + a1 * ((PE_wtd_range + PE_mean) / (EA_wtd_mean + IP_wtd_mean)) + a2 * ((at_rad_wtd_std^6) * (lambda4w_low / lambda)) + a3 * (exp(7.597505e+00*((EA_wtd_range-7.469091e-01) * (lambda4w_low-3.026363e-03)))) + a4 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.53265080127677; Max AE: 4.47103979922705
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  7.940019921647640e-04,  2.648711550196160e+01,  2.034839372936742e+04, -1.768408880727664e+01, -8.739494822702545e+03,  1.307385801905566e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * g^2 * mol^-1;                             8|5|mult|26|3|abd|div; ((at_mass_wtd_mean * density) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(at_{mass, wtd, mean} density\right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; ((at_mass_wtd_mean .* density) ./ abs(PE_wtd_mean - lambda3)); ((newdata$at_mass_wtd_mean * newdata$density) / abs(newdata$PE_wtd_mean - newdata$lambda3)); at_mass_wtd_mean,density,PE_wtd_mean,lambda3
# 1;  2; eV^-1;                                            28|25|add|32|20|add|div; ((PE_wtd_range + PE_mean) / (EA_wtd_mean + IP_wtd_mean)); $\left(\frac{ \left(PE_{wtd, range} + PE_{mean}\right) }{ \left(EA_{wtd, mean} + IP_{wtd, mean}\right) } \right)$; ((PE_wtd_range + PE_mean) ./ (EA_wtd_mean + IP_wtd_mean)); ((newdata$PE_wtd_range + newdata$PE_mean) / (newdata$EA_wtd_mean + newdata$IP_wtd_mean)); PE_wtd_range,PE_mean,EA_wtd_mean,IP_wtd_mean
# 2;  2; AA^6 * eV;                                        18|sp|2|0|div|mult; ((at_rad_wtd_std^6) * (lambda4w_low / lambda)); $\left(\left(at_{rad, wtd, std}^6\right) \left(\frac{ lambda4w_{low} }{ lambda } \right)\right)$; ((at_rad_wtd_std).^6 .* (lambda4w_low ./ lambda)); ((newdata$at_rad_wtd_std)^6 * (newdata$lambda4w_low / newdata$lambda)); at_rad_wtd_std,lambda4w_low,lambda
# 3;  2; Unitless;                                         34|2|mult|exp:7.5975046256331e+00,0.0000000000000e+00,-7.4690912865615e-01,-3.0263632902941e-03; (exp(7.597505e+00*((EA_wtd_range-7.469091e-01) * (lambda4w_low-3.026363e-03)))); $\left(\exp{ \left(7.598e+00\left(\left(EA_{wtd, range}-7.469e-01\right) * \left(lambda4w_{low}-3.026e-03\right)\right) \right)}\right)$; exp(7.597505e+00.*((EA_wtd_range-7.469091e-01) .* (lambda4w_low-3.026363e-03))); exp(7.597505e+00*((newdata$EA_wtd_range-7.469091e-01) * (newdata$lambda4w_low-3.026363e-03))); EA_wtd_range,lambda4w_low
# 4;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  8.063590149645473e-02,  3.399072479126099e+01,  1.736896020384447e-01,  5.651740747564276e-05,  1.008909203924455e+00,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01,  8.095424201979412e-01,  1.038854298088592e+01,  2.353769129038352e-01,  7.725252943006771e-05,  1.137546027123857e+00, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  1.242682146569345e+00,  1.630846647341360e+02,  2.229622122484436e-01,  0.000000000000000e+00,  1.010303187474524e+00,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  2.790694476786087e+00,  2.447979515467113e+02,  2.632059952476695e-01,  1.052152721081127e-05,  9.988186313258667e-01,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.139223922293186e+00,  5.361728560616830e+02,  2.378648960589280e-01,  2.964507286101450e-07,  1.003603671828401e+00, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  1.858543600062863e+00,  1.215049885267971e+03,  2.066359129591531e-01,  4.135984290623467e-15,  9.982564515677907e-01,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  2.233453275435903e+00,  3.386518608979531e+02,  2.534641153182418e-01,  1.386697436727085e-10,  1.006559961251623e+00,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.399508351303170e+00,  4.251484311750010e+02,  2.363896110581997e-01,  8.034842408597597e-07,  9.928956108423769e-01, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  1.680441712964961e+00,  4.975221520555546e+02,  2.228548988808168e-01,  1.845904144656364e-14,  1.008312893901476e+00, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  8.521124601236834e-01,  6.136693174949880e+02,  1.883852691218130e-01,  0.000000000000000e+00,  1.000830904805696e+00,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  9.604649894869305e-01,  1.028313717041452e+03,  1.812069682547017e-01,  1.828421350643579e-06,  1.012344400143452e+00, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  1.752823959100007e+00,  4.040676796141152e+01,  2.311876699909338e-01,  4.076630248291952e-07,  9.887366609715648e-01,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.370497980545619e+00,  6.538595696593120e+02,  2.441407684960693e-01,  8.623830690751686e-09,  9.972963699452155e-01,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  4.409868618848506e+00,  1.681314414059389e+02,  3.026703620606221e-01,  4.671366925035115e-05,  1.004569659573805e+00,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  2.985657569133337e+00,  1.214788389125785e+03,  2.111225540679711e-01,  0.000000000000000e+00,  9.412287230069394e-01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  1.945186903343547e+00,  6.215712656244307e+02,  2.246083050290347e-01,  0.000000000000000e+00,  9.936291458604225e-01,  0.000000000000000e+00
S2Ta1       ,  1.488116666500000e+00,  2.273385930297258e+00,  7.862293832772725e+01,  2.284947455275780e-01,  8.015655362720334e-05,  1.052618231118028e+00, -7.834731027649989e-06
B2C2Y1      ,  1.800000000000000e+00,  7.508248845631833e-01,  6.093514471972653e+01,  2.373460591133005e-01,  2.828200093484504e-05,  1.003042836721963e+00,  1.711337967681722e-04
Re2Y1       ,  1.830000000000000e+00,  2.878458703713851e+00,  1.422215949787553e+03,  2.473698193411265e-01,  7.899287270575183e-08,  1.010011089624950e+00,  1.972214929220701e-06
S1Y1        ,  1.900000000000000e+00,  3.335284950886054e+00,  1.923322036542606e+02,  2.721375454881071e-01,  2.913732587673548e-05,  1.000465548028294e+00,  0.000000000000000e+00
