# c0 + a0 * (wtd_mean_IP * density) + a1 * ((w_log-1.625595e+01) * (std_EA-8.615381e-02)) + a2 * (|range_EA - wtd_mean_EA|) + a3 * ((lambda-5.854300e-01) * (mean_EA-3.492581e-01)) + a4 * (w_log / density)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.98231576697572; Max AE: 10.6118521774722
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  6.180175723586417e-02, -3.683936382593182e-02,  6.793576045480779e+00,  5.932039483703560e+00,  1.330021224752465e-01, -5.279169760114788e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; cm^-3 * eV * g;                                   21|2|mult; (wtd_mean_IP * density); $\left(wtd_{mean, IP} density\right)$; (wtd_mean_IP .* density); (newdata$wtd_mean_IP * newdata$density); wtd_mean_IP,density
# 1;  1; K * eV;                                           4|30|mult:-1.6255951297578e+01,-8.6153808731745e-02; ((w_log-1.625595e+01) * (std_EA-8.615381e-02)); $\left(\left(w_{log}-1.626e+01\right) * \left(std_{EA}-8.615e-02\right)\right)$; ((w_log-1.625595e+01) .* (std_EA-8.615381e-02)); ((newdata$w_log-1.625595e+01) * (newdata$std_EA-8.615381e-02)); w_log,std_EA
# 2;  1; eV;                                               28|27|abd; (|range_EA - wtd_mean_EA|); $\left(\left|range_{EA} - wtd_{mean, EA}\right|\right)$; abs(range_EA - wtd_mean_EA); abs(newdata$range_EA - newdata$wtd_mean_EA); range_EA,wtd_mean_EA
# 3;  1; eV;                                               5|26|mult:-5.8542995212281e-01,-3.4925814471215e-01; ((lambda-5.854300e-01) * (mean_EA-3.492581e-01)); $\left(\left(lambda-5.854e-01\right) * \left(mean_{EA}-3.493e-01\right)\right)$; ((lambda-5.854300e-01) .* (mean_EA-3.492581e-01)); ((newdata$lambda-5.854300e-01) * (newdata$mean_EA-3.492581e-01)); lambda,mean_EA
# 4;  1; K * cm^3 * g^-1;                                  4|2|div; (w_log / density); $\left(\frac{ w_{log} }{ density } \right)$; (w_log ./ density); (newdata$w_log / newdata$density); w_log,density
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  9.861580315434663e-01,  5.477121300000000e+01,  6.286659000815756e+01,  6.600000000000006e-02, -5.623370370330340e-02,  3.820646017699115e+01
B1Mo1       ,  2.500000000000000e-01,  2.651444972896135e+00,  6.610005000000000e+01,  4.987507965640251e+01,  4.249999999999998e-02, -1.064792519485701e-02,  4.103181606519208e+01
Cr3Ir1      ,  2.560000000000000e-01,  4.417070411172427e+00,  8.651303100000000e+01,  3.462095084616735e+01,  8.199999999999985e-03,  7.263743282427267e-01,  9.476601529311809e+00
Al1Os1      ,  3.900000000000000e-01,  1.776587662797126e+00,  9.832277000000001e+01,  3.897270742559111e+01,  1.114999999999999e-01, -1.597768340319123e-02,  1.317470500373413e+01
Al1Mo3      ,  5.800000000000000e-01,  4.360239982771899e+00,  5.868145500000000e+01,  1.857741447890885e+01,  3.648000000000000e-01, -6.028620544708498e-02,  3.440919860627178e+01
Sb1V3       ,  6.500000000000000e-01,  1.144603621984259e+00,  5.566234500000000e+01,  2.308451934596489e+01,  1.163000000000000e-01,  1.056371794962475e-01,  1.817583657587549e+01
Nb3Os1      ,  6.633333330000000e-01,  6.901651071774964e+00,  8.157081800000000e+01,  3.024430715760742e+00,  7.378000000000000e-01, -2.155284389986640e-03,  1.692833037300178e+01
Ti1O1       ,  7.200000000000000e-01,  2.621602443946479e+00,  5.612427000000000e+01,  3.211109368939790e+02,  6.119999999999999e-01, -1.941008199560037e-01,  9.966353369763205e+01
Ga1Mo3      ,  7.600000000000000e-01,  2.343121769831258e+00,  6.696061600000000e+01,  3.485752324306745e+01,  1.884999999999999e-01, -3.077488650886411e-02,  2.759433808553971e+01
B2Ru1       ,  8.000000000000000e-01,  2.274827917008993e+00,  6.037189200000000e+01,  1.064509943679356e+02,  2.383000000000001e-01, -6.672295808825093e-02,  4.903222222222222e+01
La1Se1      ,  1.020000000000000e+00, -1.725961373172712e+00,  4.882286500000000e+01,  6.743890035012305e+01,  2.605000000000000e-01, -1.984046455241223e-01,  1.825153846153846e+01
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.385245033433037e+00,  5.212687200000001e+01,  2.925935319816366e+01,  1.965000000000000e-01,  6.647219934722003e-02,  2.098857526881720e+01
Co1Si2      ,  1.306666667000000e+00,  4.698319481763746e+00,  4.111467000000000e+01,  8.994835325241715e+01,  4.197000000000000e-01, -1.734413335498826e-01,  6.712500000000000e+01
Nb1O1       ,  1.380000000000000e+00,  6.532481931378872e+00,  7.203269500000000e+01,  6.050000978670139e+01,  6.090000000000001e-01, -1.023336859392815e-01,  4.555149929278642e+01
Hg2Na1      ,  1.620000000000000e+00,  2.787304048110403e+00,  8.212099900000000e+01,  7.771882327620701e+00,  3.653000000000001e-01, -2.278067643585482e-03,  6.085491024287223e+00
Ga2Y1       ,  1.680000000000000e+00, -6.578056154849748e-01,  3.679450199999999e+01, -4.715440042552421e-01,  2.953000000000000e-01, -2.665274874126000e-02,  3.623927392739274e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.261998691492177e+00,  7.242941999999999e+01,  5.607456303409754e+01,  2.930000000000000e-01, -9.393183415254784e-02,  2.779913393756294e+01
B1Hf1       ,  3.100000000000000e+00,  4.656691811447739e+00,  8.393265000000000e+01,  1.761090496243325e+01,  1.385000000000000e-01,  3.887011453875468e-02,  3.177363963963964e+01
C1In1Ti2    ,  3.100000000000000e+00,  4.127663456744617e+00,  4.712757000000000e+01,  1.018138516347272e+02,  7.536999999999999e-01, -6.442894729910709e-02,  4.140460912052117e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.099354583866994e+00,  7.696903499999999e+01,  1.285737124767404e+02,  6.772000000000000e-01,  2.161366279216078e-01,  1.861275403608737e+01
Sn1         ,  3.740729412000000e+00,  6.605592411432040e+00,  4.083264000000000e+01, -7.925947830078654e+00,  1.200000000000000e+00, -2.819613323669204e-01,  1.947007194244605e+01
B1Ta1       ,  4.000000000000000e+00,  8.218689203723262e+00,  1.144491600000000e+02, -2.403717714170655e+01,  2.545000000000000e-01,  1.776017220982907e-02,  2.785569306930693e+01
Sn1V3       ,  4.462500000000000e+00,  2.297830174943496e+00,  5.164729500000000e+01,  9.614908903467514e+00,  1.879999999999993e-02,  6.142324797254134e-01,  7.277650200267022e+00
B2Nb1       ,  4.597500000000000e+00,  3.223918521246892e+00,  5.278230000000001e+01,  7.469777531252367e+01,  1.337000000000000e-01,  2.705610401804388e-02,  5.205983775811210e+01
Al1Si1Sr1   ,  4.750000000000000e+00,  5.212329110157505e+00,  2.095687000000000e+01,  6.518253887961852e+01,  7.763000000000000e-01,  1.314593122878239e-02,  4.695996845425868e+01
Fe1Li1P1    ,  4.965000000000000e+00,  6.302112498351923e+00,  3.147019000000000e+01,  5.353441552783196e+01,  7.399999999999995e-02, -6.265554025156037e-02,  8.629556675062972e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  6.008445376740040e+00,  2.844579000000000e+01,  5.475202162219587e+00,  8.233000000000000e-01,  5.567187628827888e-01,  6.283279069767442e+00
Os0.5V0.5   ,  5.150000000000000e+00,  4.948846255278671e+00,  1.126785700000000e+02,  3.333766380985897e+01,  2.375000000000000e-01,  2.058971295985075e-01,  1.246263193968472e+01
Ir1Mo1      ,  5.325000000000000e+00,  3.828320655930010e+00,  1.309123200000000e+02,  6.837218224917855e+01,  3.365000000000000e-01, -1.050774623990696e-01,  1.408212121212121e+01
La1         ,  5.343000000000000e+00,  3.275735759369657e+00,  3.424278000000000e+01, -9.240037945470754e-01,  5.000000000000000e-01,  4.085209869770284e-01,  4.394299674267102e+00
