# c0 + a0 * ((ThermalCond_std + 0.000000e+00*density) + 1.057276e+03*((EA_mean-1.280559e+00) / (V_molar-2.767802e+01))) + a1 * ((at_mass_wtd_range - (3.435655e+01*at_mass_wtd_mean)) + 2.128611e+01*((ThermalCond_wtd_mean-1.160425e+02) / (IP_mean-9.210007e+00))) + a2 * ((ThermalCond_wtd_std + 2.145950e+02*L_avg) + 5.157129e+02*((ThermalCond_mean-9.809090e+01) / (ThermalCond_wtd_mean-1.240071e+02))) + a3 * (((at_mass_range-1.785509e+01) / (L_avg-2.836408e+00)) + 1.285527e+02*((lambda3-1.629436e+00) / (at_mass_wtd_mean-9.799982e+01))) + a4 * (((at_mass_mean-8.313745e+01) / (w_log-2.999381e-02)) + 3.402791e+03*((lambda-7.224567e-01) / (w_log-6.039118e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.02670233310053; Max AE: 3.18189590935534
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  4.512212354426982e-03, -2.372743074377476e-04,  1.470547954536314e-03,  8.423941714650640e-03, -4.335838196591536e-05, -1.594633649913367e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        41|5|add|31|6|div|add:1.0572761874559e+03,0.0000000000000e+00,-1.2805586514732e+00,-2.7678019189761e+01,0.0000000000000e+00,0.0000000000000e+00; ((ThermalCond_std + 0.000000e+00*density) + 1.057276e+03*((EA_mean-1.280559e+00) / (V_molar-2.767802e+01))); $\left(\left(ThermalCond_{std} + 0.00density\right) + 1.06e+03\left(\frac{ EA_{mean} -1.281e+00 }{ V_{molar}-2.768e+01 } \right)\right)$; ((ThermalCond_std + (0.000000e+00.*density)) + (1.057276e+03.*((EA_mean-1.280559e+00) ./ (V_molar-2.767802e+01)))); ((newdata$ThermalCond_std + (0.000000e+00*newdata$density)) + (1.057276e+03*((newdata$EA_mean-1.280559e+00) / (newdata$V_molar-2.767802e+01)))); ThermalCond_std,density,EA_mean,V_molar
# 1;  2; g * mol^-1;                                       10|8|sub|38|19|div|add:2.1286112984877e+01,0.0000000000000e+00,-1.1604245409861e+02,-9.2100067003462e+00,3.4356547163031e+01,0.0000000000000e+00; ((at_mass_wtd_range - (3.435655e+01*at_mass_wtd_mean)) + 2.128611e+01*((ThermalCond_wtd_mean-1.160425e+02) / (IP_mean-9.210007e+00))); $\left(\left(at_{mass, wtd, range} - \left(3.436e+01at_{mass, wtd, mean}\right)\right) + 21.3\left(\frac{ ThermalCond_{wtd, mean} -1.160e+02 }{ IP_{mean}-9.210e+00 } \right)\right)$; ((at_mass_wtd_range - (3.435655e+01.*at_mass_wtd_mean)) + (2.128611e+01.*((ThermalCond_wtd_mean-1.160425e+02) ./ (IP_mean-9.210007e+00)))); ((newdata$at_mass_wtd_range - (3.435655e+01*newdata$at_mass_wtd_mean)) + (2.128611e+01*((newdata$ThermalCond_wtd_mean-1.160425e+02) / (newdata$IP_mean-9.210007e+00)))); at_mass_wtd_range,at_mass_wtd_mean,ThermalCond_wtd_mean,IP_mean
# 2;  2; W * mK^-1;                                        42|4|add|37|38|div|add:5.1571294918068e+02,0.0000000000000e+00,-9.8090901769489e+01,-1.2400711796561e+02,2.1459495121029e+02,0.0000000000000e+00; ((ThermalCond_wtd_std + 2.145950e+02*L_avg) + 5.157129e+02*((ThermalCond_mean-9.809090e+01) / (ThermalCond_wtd_mean-1.240071e+02))); $\left(\left(ThermalCond_{wtd, std} + 215.0L_{avg}\right) + 516.0\left(\frac{ ThermalCond_{mean} -9.809e+01 }{ ThermalCond_{wtd, mean}-1.240e+02 } \right)\right)$; ((ThermalCond_wtd_std + (2.145950e+02.*L_avg)) + (5.157129e+02.*((ThermalCond_mean-9.809090e+01) ./ (ThermalCond_wtd_mean-1.240071e+02)))); ((newdata$ThermalCond_wtd_std + (2.145950e+02*newdata$L_avg)) + (5.157129e+02*((newdata$ThermalCond_mean-9.809090e+01) / (newdata$ThermalCond_wtd_mean-1.240071e+02)))); ThermalCond_wtd_std,L_avg,ThermalCond_mean,ThermalCond_wtd_mean
# 3;  2; AA^-1 * g * mol^-1;                               9|4|div|3|8|div|add:1.2855274130777e+02,0.0000000000000e+00,-1.6294363661866e+00,-9.7999820505729e+01,-1.7855093839546e+01,-2.8364080961560e+00; (((at_mass_range-1.785509e+01) / (L_avg-2.836408e+00)) + 1.285527e+02*((lambda3-1.629436e+00) / (at_mass_wtd_mean-9.799982e+01))); $\left(\left(\frac{ at_{mass, range} -1.786e+01 }{ L_{avg}-2.836e+00 } \right) + 129.0\left(\frac{ lambda3 -1.629e+00 }{ at_{mass, wtd, mean}-9.800e+01 } \right)\right)$; (((at_mass_range-1.785509e+01) ./ (L_avg-2.836408e+00)) + (1.285527e+02.*((lambda3-1.629436e+00) ./ (at_mass_wtd_mean-9.799982e+01)))); (((newdata$at_mass_range-1.785509e+01) / (newdata$L_avg-2.836408e+00)) + (1.285527e+02*((newdata$lambda3-1.629436e+00) / (newdata$at_mass_wtd_mean-9.799982e+01)))); at_mass_range,L_avg,lambda3,at_mass_wtd_mean
# 4;  2; eV^-1 * g * mol^-1;                               7|1|div|0|1|div|add:3.4027906112287e+03,0.0000000000000e+00,-7.2245670843461e-01,-6.0391180881896e-02,-8.3137453333752e+01,-2.9993805092064e-02; (((at_mass_mean-8.313745e+01) / (w_log-2.999381e-02)) + 3.402791e+03*((lambda-7.224567e-01) / (w_log-6.039118e-02))); $\left(\left(\frac{ at_{mass, mean} -8.314e+01 }{ w_{log}-2.999e-02 } \right) + 3.40e+03\left(\frac{ lambda -7.225e-01 }{ w_{log}-6.039e-02 } \right)\right)$; (((at_mass_mean-8.313745e+01) ./ (w_log-2.999381e-02)) + (3.402791e+03.*((lambda-7.224567e-01) ./ (w_log-6.039118e-02)))); (((newdata$at_mass_mean-8.313745e+01) / (newdata$w_log-2.999381e-02)) + (3.402791e+03*((newdata$lambda-7.224567e-01) / (newdata$w_log-6.039118e-02)))); at_mass_mean,w_log,lambda,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02, -6.662142821716216e-01,  4.290333480970778e+01, -1.011928790181117e+03, -8.420029184708483e+00,  4.500625413550654e+01,  3.014855543701937e+04
Ti1         ,  1.620000000000000e-01,  1.073270005967850e+00,  7.149486617357083e+01, -8.032680681699372e+02,  1.230686701091001e+03, -1.228919112318412e+01,  2.275735067852323e+04
B1Mo1       ,  2.500000000000000e-01,  6.817825462041152e-01,  1.086449416783187e+02, -1.327147822212914e+03,  1.110603569663177e+03,  6.049814181266161e+01,  4.858829480938888e+04
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.155661731716704e+00, -6.308820583520729e+01, -2.670405971953078e+03,  3.196796568945759e+02,  1.045257356693685e+02,  8.866779666539374e+03
Pt1Te1      ,  5.900000000000000e-01,  5.646509064269512e-02, -4.452156852059117e+02,  1.901110569509471e+03,  1.398644160993133e+03,  2.480435817389026e+01, -9.460617955518790e+03
Sb1V3       ,  6.500000000000000e-01,  1.419134789713759e+00, -6.826475455959680e+01, -1.110887272943323e+03,  1.432393846395534e+03,  3.256534613303833e+01,  1.747514941801404e+04
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.421259555189997e+00, -2.320450746631734e+01, -1.954351346482699e+03,  3.317459163428720e+02,  3.511485938584487e+01, -1.010313106422185e+04
Rh1Te2      ,  7.550000000000000e-01,  2.064877159171483e+00,  9.623237005841497e+01, -2.692671298522712e+03,  1.608024446199156e+03, -7.710793771090626e+00,  2.648862372745094e+04
Zr1         ,  9.966666670000000e-01,  2.434998275059858e+00,  6.383783679577645e+01, -2.362763606723291e+03,  1.205124847858357e+03,  6.678477653525533e+00,  1.906536106048862e+03
Be2Ta3      ,  1.000000000000000e+00,  2.663566547302487e-01, -1.950982060795364e+01, -3.565300943920383e+03,  2.749722397339535e+02,  4.578578072853803e+01,  2.588100387990877e+04
C1Si1       ,  1.075000000000000e+00,  8.886271846808995e-01,  2.416093559354556e+00,  5.619997145805014e+02,  1.769912778395937e+03, -9.661895664286634e+01,  1.426004415138115e+04
Nb3Sb1      ,  1.100000000000000e+00,  1.887969756225630e+00, -5.369787001151739e+00, -2.448955847511885e+03,  1.529592488534148e+03, -7.645330372931370e+01,  2.645682052198307e+03
Nb1O1       ,  1.380000000000000e+00,  2.091975043165498e+00,  3.548015154567193e+01, -3.769097592422683e+03,  1.304464553574707e+03,  4.797749512180349e+01,  2.595583237681648e+04
Sb1         ,  1.416666667000000e+00,  2.142689541777913e+00,  2.142826422776365e+01, -7.460548546238097e+02,  1.039158919643135e+03, -8.069149766570537e+01, -2.721623306094361e+04
Sb1Sn1      ,  1.430000000000000e+00,  2.730167627180081e+00, -3.424262275449070e+00, -2.893026084373250e+03,  1.290368047583832e+03, -1.586366220338619e+01, -1.048765388230522e+04
S2Ta1       ,  1.488116666500000e+00,  1.267397111650001e+00,  1.436989525716833e+01,  2.152516695103190e+04,  1.695760783459602e+03, -2.494052856742739e+01, -9.653933925149209e+04
B2C2Y1      ,  1.800000000000000e+00, -3.314721224689173e-01, -2.526815566642328e+02,  6.770870964701256e+02,  1.422055576853230e+03,  3.473959484007551e+01,  2.894586303427704e+04
Re2Y1       ,  1.830000000000000e+00,  2.323596840116178e+00, -2.036383922066747e+02, -4.468700757038103e+03,  1.797862522594338e+03,  1.835983937795200e+01,  1.053759974997734e+04
S1Y1        ,  1.900000000000000e+00,  1.956384362202413e+00,  3.772411772508404e+01,  4.298055814246632e+02,  1.236462075846401e+03,  4.251525106091132e+01,  2.970877804425071e+03
Ga2Pt1      ,  1.900000000000000e+00,  3.152472839554233e+00,  1.362855920901925e+00, -2.881332964805270e+03,  1.222192124028287e+03,  6.875530481297054e+01, -5.665285603500026e+03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.408595804614050e+00,  3.951248488198232e+01, -3.725647300975446e+03,  2.022945128780140e+03, -1.357842337017773e+02,  7.500955339608765e+03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.482013609809899e+00, -1.702427714260620e+01, -3.508729122960700e+03,  1.364640715944186e+03, -4.524647049352524e+00,  1.911773246949318e+03
Be2Nb1      ,  2.150000000000000e+00,  2.593632082743010e+00,  1.901859204425193e+02, -1.754323121513763e+03,  1.643870418036670e+03,  4.106040621801141e+01,  2.962749777748836e+04
In1Te1      ,  2.206000000000000e+00,  3.161038825433154e+00,  1.864474521077553e+01, -3.294009430078488e+03,  1.324551874170374e+03, -8.182733922703276e+00, -1.328239507114427e+04
C2Cl2Y2     ,  2.300000000000000e+00,  5.481895909355338e+00,  1.178357376424293e+02, -2.976482708534661e+03,  1.636001686264746e+03,  1.691917328449705e+01, -4.278461009893157e+04
Be2Nb3      ,  2.300000000000000e+00,  9.544009627778374e-02,  5.254944770471440e+00, -1.859587921470537e+03,  4.378462388244274e+02,  3.076353868094279e+01,  2.567126582806741e+04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.506093154689802e+00, -3.322149513706515e+01, -4.176492345135940e+03,  1.414602234615627e+03,  4.221229513925212e+01, -8.963671558922077e+03
As1Pt1Sr1   ,  2.425000000000000e+00,  3.152247214931842e+00, -7.415975769126668e+00, -2.758009109701461e+03,  1.587067128277832e+03,  2.723182882404318e+01, -2.940854160556910e+03
Bi1Nb3      ,  2.516666667000000e+00,  3.273062385095049e+00,  9.134716721554597e-01, -3.429275411732490e+03,  1.582907663971645e+03,  3.262757514128000e+01, -2.797753118507435e+02
Re1         ,  2.581333333000000e+00,  3.031256799755644e+00,  6.317647426472892e+01, -5.308443059447693e+03,  1.051016044300813e+03, -3.910495859069987e+01, -9.916092917992733e+03
Hf1In1Pd2   ,  2.630000000000000e+00,  2.794496495560125e+00, -5.091450201665413e+01, -3.807276778527442e+03,  1.336146917014120e+03,  2.515467646919683e+01, -2.388426316288092e+03
Nb3Rh1      ,  2.742333333000000e+00,  2.444058345152905e+00,  2.530295351556090e+01, -2.888655066681157e+03,  1.093150418082922e+03,  6.651790081475112e+01,  8.393469357973210e+03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.471788279017838e+00, -9.791091335210157e+01, -1.879620385696564e+03,  1.345266141875392e+03,  7.152806396421449e+00, -3.663715254492302e+04
