# c0 + a0 * ((ThermalCond_mean * at_mass_wtd_range) / (L_avg^6)) + a1 * ((lambda4w_low^2) * (exp(-1.0 * lambda3))) + a2 * ((lambda4w_low / lambda3) * (PE_wtd_range * at_mass_wtd_mean)) + a3 * ((PE_range * lambda4w_low) - (lambda4w_low - w_log)) + a4 * ((ThermalCond_wtd_range * IP_wtd_mean) / (at_mass_wtd_mean^6))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.62212002647577; Max AE: 6.17336428029591
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  4.979780062737845e-01,  2.879151351388138e+04,  4.586270116414320e+00, -6.143356864397275e+01,  9.884613107771385e+05,  2.340248859731358e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-6 * W * g * mK^-1 * mol^-1;                   37|10|mult|4|sp|div; ((ThermalCond_mean * at_mass_wtd_range) / (L_avg^6)); $\left(\frac{ \left(ThermalCond_{mean} at_{mass, wtd, range}\right) }{ \left(L_{avg}^6\right) } \right)$; ((ThermalCond_mean .* at_mass_wtd_range) ./ (L_avg).^6); ((newdata$ThermalCond_mean * newdata$at_mass_wtd_range) / (newdata$L_avg)^6); ThermalCond_mean,at_mass_wtd_range,L_avg
# 1;  2; eV^2;                                             2|sq|3|nexp|mult; ((lambda4w_low^2) * (exp(-1.0 * lambda3))); $\left(\left(lambda4w_{low}^2\right) \left(\exp{ \left(-lambda3 \right) } \right)\right)$; ((lambda4w_low)^2 .* exp(-1.0 * (lambda3))); ((newdata$lambda4w_low)^2 * exp(-1.0 * (newdata$lambda3))); lambda4w_low,lambda3
# 2;  2; eV * g * mol^-1;                                  2|3|div|28|8|mult|mult; ((lambda4w_low / lambda3) * (PE_wtd_range * at_mass_wtd_mean)); $\left(\left(\frac{ lambda4w_{low} }{ lambda3 } \right) \left(PE_{wtd, range} at_{mass, wtd, mean}\right)\right)$; ((lambda4w_low ./ lambda3) .* (PE_wtd_range .* at_mass_wtd_mean)); ((newdata$lambda4w_low / newdata$lambda3) * (newdata$PE_wtd_range * newdata$at_mass_wtd_mean)); lambda4w_low,lambda3,PE_wtd_range,at_mass_wtd_mean
# 3;  2; eV;                                               27|2|mult|2|1|sub|sub; ((PE_range * lambda4w_low) - (lambda4w_low - w_log)); $\left(\left(PE_{range} lambda4w_{low}\right) - \left(lambda4w_{low} - w_{log}\right)\right)$; ((PE_range .* lambda4w_low) - (lambda4w_low - w_log)); ((newdata$PE_range * newdata$lambda4w_low) - (newdata$lambda4w_low - newdata$w_log)); PE_range,lambda4w_low,lambda4w_low,w_log
# 4;  2; W * eV * g^-6 * mK^-1 * mol^6;                    40|20|mult|8|sp|div; ((ThermalCond_wtd_range * IP_wtd_mean) / (at_mass_wtd_mean^6)); $\left(\frac{ \left(ThermalCond_{wtd, range} IP_{wtd, mean}\right) }{ \left(at_{mass, wtd, mean}^6\right) } \right)$; ((ThermalCond_wtd_range .* IP_wtd_mean) ./ (at_mass_wtd_mean).^6); ((newdata$ThermalCond_wtd_range * newdata$IP_wtd_mean) / (newdata$at_mass_wtd_mean)^6); ThermalCond_wtd_range,IP_wtd_mean,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  2.017491623550758e+00,  9.769698360368639e-02,  1.008002175961553e-06,  1.036607543521928e-01,  2.697800000000000e-02,  7.906313508279783e-07
Se2Ta1      ,  1.250000000000000e-01,  8.351849043202939e-01,  1.488193682047184e-02,  1.898215558857736e-42,  1.121110587288359e+00,  1.083170000000000e-01,  1.103113427736848e-10
Ti1         ,  1.620000000000000e-01,  1.212164797648898e+00,  0.000000000000000e+00,  1.317230883394068e-06,  0.000000000000000e+00,  1.898000000000000e-02,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  1.672279388999345e+00,  8.247956555712167e-01,  9.106738263108162e-06,  5.415845173411872e-02,  2.616960000000000e-02,  1.862519493562373e-08
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.761886078083341e+00,  9.526253303216140e-01,  1.440640612518695e-06,  1.189746067131096e-01,  1.044130000000000e-02,  1.587486382385078e-09
Pt1Te1      ,  5.900000000000000e-01,  2.705172355098159e+00,  1.214207332007643e-01,  6.611995429587254e-06,  9.046295078936666e-02,  4.896600000000000e-03,  1.757209559564769e-11
Sb1V3       ,  6.500000000000000e-01,  1.727820967137199e+00,  5.434485916317179e-02,  1.809872185748586e-06,  1.144522199514813e-01,  1.980480000000000e-02,  1.733476583073443e-10
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.992342753855985e+00,  3.050542497742371e-01,  1.460812059919391e-05,  9.918100869175124e-02,  6.276799999999999e-03,  1.044958729863317e-08
Rh1Te2      ,  7.550000000000000e-01,  1.782648351542518e+00,  1.166273338797931e-02,  1.635009359724516e-08,  3.752818621523579e-02,  1.198340000000000e-02,  1.918038410819206e-10
Zr1         ,  9.966666670000000e-01,  1.906036638941934e+00,  0.000000000000000e+00,  5.978744453416590e-06,  0.000000000000000e+00,  9.869999999999999e-03,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  1.695214202143956e+00,  4.109289579999724e-01,  8.547378069114569e-08,  2.191298232558139e-02,  1.551100000000000e-02,  2.711961592886249e-10
C1Si1       ,  1.075000000000000e+00,  3.147245252960026e+00,  2.154738584726258e+00,  2.178468611538401e-05,  1.567779788070890e-01,  3.827000000000001e-02,  7.474307683200438e-07
Nb3Sb1      ,  1.100000000000000e+00,  2.560889417255044e+00,  2.049962847092744e-02,  9.401555995136507e-06,  2.047498087229541e-01,  1.626750000000000e-02,  8.074747106240284e-11
Nb1O1       ,  1.380000000000000e+00,  3.846046988639542e+00,  1.914467658346525e-01,  2.615755110501327e-06,  6.434570913950552e-01,  2.647320000000000e-02,  1.054712145959286e-08
Sb1         ,  1.416666667000000e+00,  4.023421287629714e+00,  0.000000000000000e+00,  4.894423876212077e-05,  0.000000000000000e+00, -4.460000000000000e-03,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.547328926296318e+00,  1.089949009746978e-02,  9.636792456848234e-06,  3.641527687811043e-02,  3.953400000000000e-03,  5.634425389026834e-11
S2Ta1       ,  1.488116666500000e+00,  4.617591274684283e+00,  3.380842476204430e-02,  2.481808644552210e-06,  8.319671897052718e-01,  2.649000000000001e-02,  8.098539151624088e-10
B2C2Y1      ,  1.800000000000000e+00,  2.316409008718284e+00,  1.375619812863930e-01,  2.295356186281689e-06,  1.665743925450404e-01,  3.645469999999999e-02,  1.332533373785807e-06
