# c0 + a0 * ((lambda4w_low^2) * (exp(-1.0 * lambda3))) + a1 * ((w_log * lambda) * (PE_wtd_range * at_mass_wtd_mean)) + a2 * ((PE_range * lambda4w_low) - (lambda4w_low - w_log)) + a3 * ((ThermalCond_wtd_range * IP_wtd_mean) / (at_mass_wtd_mean^6))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.77675222838931; Max AE: 5.83112920431664
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.796026931721438e+04,  4.742091274331198e+00, -5.930891997420905e+01,  9.848109668352116e+05,  2.588804237610523e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             2|sq|3|nexp|mult; ((lambda4w_low^2) * (exp(-1.0 * lambda3))); $\left(\left(lambda4w_{low}^2\right) \left(\exp{ \left(-lambda3 \right) } \right)\right)$; ((lambda4w_low)^2 .* exp(-1.0 * (lambda3))); ((newdata$lambda4w_low)^2 * exp(-1.0 * (newdata$lambda3))); lambda4w_low,lambda3
# 1;  2; eV * g * mol^-1;                                  1|0|mult|28|8|mult|mult; ((w_log * lambda) * (PE_wtd_range * at_mass_wtd_mean)); $\left(\left(w_{log} lambda\right) \left(PE_{wtd, range} at_{mass, wtd, mean}\right)\right)$; ((w_log .* lambda) .* (PE_wtd_range .* at_mass_wtd_mean)); ((newdata$w_log * newdata$lambda) * (newdata$PE_wtd_range * newdata$at_mass_wtd_mean)); w_log,lambda,PE_wtd_range,at_mass_wtd_mean
# 2;  2; eV;                                               27|2|mult|2|1|sub|sub; ((PE_range * lambda4w_low) - (lambda4w_low - w_log)); $\left(\left(PE_{range} lambda4w_{low}\right) - \left(lambda4w_{low} - w_{log}\right)\right)$; ((PE_range .* lambda4w_low) - (lambda4w_low - w_log)); ((newdata$PE_range * newdata$lambda4w_low) - (newdata$lambda4w_low - newdata$w_log)); PE_range,lambda4w_low,lambda4w_low,w_log
# 3;  2; W * eV * g^-6 * mK^-1 * mol^6;                    40|20|mult|8|sp|div; ((ThermalCond_wtd_range * IP_wtd_mean) / (at_mass_wtd_mean^6)); $\left(\frac{ \left(ThermalCond_{wtd, range} IP_{wtd, mean}\right) }{ \left(at_{mass, wtd, mean}^6\right) } \right)$; ((ThermalCond_wtd_range .* IP_wtd_mean) ./ (at_mass_wtd_mean).^6); ((newdata$ThermalCond_wtd_range * newdata$IP_wtd_mean) / (newdata$at_mass_wtd_mean)^6); ThermalCond_wtd_range,IP_wtd_mean,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  2.287064007142946e+00,  1.008002175961553e-06,  1.036440141769725e-01,  2.697800000000000e-02,  7.906313508279783e-07
Se2Ta1      ,  1.250000000000000e-01,  1.481275679064674e+00,  1.898215558857736e-42,  1.121135546095164e+00,  1.083170000000000e-01,  1.103113427736848e-10
Ti1         ,  1.620000000000000e-01,  1.499951066752685e+00,  1.317230883394068e-06,  0.000000000000000e+00,  1.898000000000000e-02,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  1.566823187087121e+00,  9.106738263108162e-06,  5.422512897539999e-02,  2.616960000000000e-02,  1.862519493562373e-08
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.574358322362538e+00,  1.440640612518695e-06,  1.187181361125760e-01,  1.044130000000000e-02,  1.587486382385078e-09
Pt1Te1      ,  5.900000000000000e-01,  2.913056169318023e+00,  6.611995429587254e-06,  9.062953162704000e-02,  4.896600000000000e-03,  1.757209559564769e-11
Sb1V3       ,  6.500000000000000e-01,  2.009220793077355e+00,  1.809872185748586e-06,  1.147684837488840e-01,  1.980480000000000e-02,  1.733476583073443e-10
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.105778297140790e+00,  1.460812059919391e-05,  9.921918555823998e-02,  6.276799999999999e-03,  1.044958729863317e-08
Rh1Te2      ,  7.550000000000000e-01,  2.054471955183965e+00,  1.635009359724516e-08,  3.706048143720000e-02,  1.198340000000000e-02,  1.918038410819206e-10
Zr1         ,  9.966666670000000e-01,  2.170592502561409e+00,  5.978744453416590e-06,  0.000000000000000e+00,  9.869999999999999e-03,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  1.776589626351339e+00,  8.547378069114569e-08,  2.215670123221632e-02,  1.551100000000000e-02,  2.711961592886249e-10
C1Si1       ,  1.075000000000000e+00,  2.407573301239244e+00,  2.178468611538401e-05,  1.567531453256925e-01,  3.827000000000001e-02,  7.474307683200438e-07
Nb3Sb1      ,  1.100000000000000e+00,  2.856807102706038e+00,  9.401555995136507e-06,  2.045218250871418e-01,  1.626750000000000e-02,  8.074747106240284e-11
Nb1O1       ,  1.380000000000000e+00,  4.149036459869725e+00,  2.615755110501327e-06,  6.425023914603359e-01,  2.647320000000000e-02,  1.054712145959286e-08
Sb1         ,  1.416666667000000e+00,  4.221816118010436e+00,  4.894423876212077e-05,  0.000000000000000e+00, -4.460000000000000e-03,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.796325970224590e+00,  9.636792456848234e-06,  3.637441921185000e-02,  3.953400000000000e-03,  5.634425389026834e-11
