# c0 + a0 * ((IP_std + 4.188909e-01*at_mass_range) + 1.224460e+03*|EA_std - (1.202254e+00*EA_wtd_range+4.208982e-02)|) + a1 * (((at_mass_wtd_std-1.332581e+02) * (at_mass_wtd_range-4.916068e+01)) + 6.584320e+01*((ThermalCond_wtd_std-4.005066e+01) / (L_avg-6.258983e+00))) + a2 * (((lambda3-4.051044e+00) / (L_avg-3.101884e+00)) + 3.697496e+01*(sin(2.001137e+00*lambda3+1.176072e+00))) + a3 * (((at_rad_wtd_std+4.530152e+00) / (IP_wtd_mean-1.048803e+01)) + 6.953470e-01*|ThermalCond_wtd_std - (8.385906e-01*ThermalCond_wtd_mean-1.712349e+01)|) + a4 * (((ThermalCond_wtd_mean-1.156466e+02) / (at_mass_mean-1.734814e+01)) + 3.762865e+02*((PE_range-1.022452e+00) * (lambda4w_low-3.202618e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.10945760246833; Max AE: 3.24890820031528
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -9.610268969390507e-03, -1.585423877479458e-04, -5.002539314554425e-02,  5.847227422199695e-02, -1.582380588099441e-01,  5.590435544334965e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               23|9|add|35|34|abd|add:1.2244597112165e+03,0.0000000000000e+00,1.2022544602351e+00,4.2089821980163e-02,4.1889092482980e-01,0.0000000000000e+00; ((IP_std + 4.188909e-01*at_mass_range) + 1.224460e+03*|EA_std - (1.202254e+00*EA_wtd_range+4.208982e-02)|); $\left(\left(IP_{std} + 0.419at_{mass, range}\right) + 1.22e+03\left(\left|EA_{std} - \left(1.202e+00EA_{wtd, range}+4.209e-02\right)\right|\right)\right)$; ((IP_std + (4.188909e-01.*at_mass_range)) + (1.224460e+03.*abs(EA_std - (1.202254e+00.*EA_wtd_range+4.208982e-02)))); ((newdata$IP_std + (4.188909e-01*newdata$at_mass_range)) + (1.224460e+03*abs(newdata$EA_std - (1.202254e+00*newdata$EA_wtd_range+4.208982e-02)))); IP_std,at_mass_range,EA_std,EA_wtd_range
# 1;  2; g^2 * mol^-2;                                     12|10|mult|42|4|div|add:6.5843203719987e+01,0.0000000000000e+00,-4.0050656586689e+01,-6.2589828613813e+00,-1.3325812799252e+02,-4.9160678758220e+01; (((at_mass_wtd_std-1.332581e+02) * (at_mass_wtd_range-4.916068e+01)) + 6.584320e+01*((ThermalCond_wtd_std-4.005066e+01) / (L_avg-6.258983e+00))); $\left(\left(\left(at_{mass, wtd, std}-1.333e+02\right) * \left(at_{mass, wtd, range}-4.916e+01\right)\right) + 65.8\left(\frac{ ThermalCond_{wtd, std} -4.005e+01 }{ L_{avg}-6.259e+00 } \right)\right)$; (((at_mass_wtd_std-1.332581e+02) .* (at_mass_wtd_range-4.916068e+01)) + (6.584320e+01.*((ThermalCond_wtd_std-4.005066e+01) ./ (L_avg-6.258983e+00)))); (((newdata$at_mass_wtd_std-1.332581e+02) * (newdata$at_mass_wtd_range-4.916068e+01)) + (6.584320e+01*((newdata$ThermalCond_wtd_std-4.005066e+01) / (newdata$L_avg-6.258983e+00)))); at_mass_wtd_std,at_mass_wtd_range,ThermalCond_wtd_std,L_avg
# 2;  2; AA^-1;                                            3|4|div|3|sin|add:3.6974957072658e+01,0.0000000000000e+00,2.0011373360651e+00,1.1760721951936e+00,-4.0510438933345e+00,-3.1018840508188e+00; (((lambda3-4.051044e+00) / (L_avg-3.101884e+00)) + 3.697496e+01*(sin(2.001137e+00*lambda3+1.176072e+00))); $\left(\left(\frac{ lambda3 -4.051e+00 }{ L_{avg}-3.102e+00 } \right) + 37.0\left(\sin{ \left(2.001e+00lambda3+1.176e+00 \right)}\right)\right)$; (((lambda3-4.051044e+00) ./ (L_avg-3.101884e+00)) + (3.697496e+01.*sin(2.001137e+00.*lambda3+1.176072e+00))); (((newdata$lambda3-4.051044e+00) / (newdata$L_avg-3.101884e+00)) + (3.697496e+01*sin(2.001137e+00*newdata$lambda3+1.176072e+00))); lambda3,L_avg,lambda3
# 3;  2; AA * eV^-1;                                       18|20|div|42|38|abd|add:6.9534704366134e-01,0.0000000000000e+00,8.3859056452117e-01,-1.7123489349632e+01,4.5301522925659e+00,-1.0488028372146e+01; (((at_rad_wtd_std+4.530152e+00) / (IP_wtd_mean-1.048803e+01)) + 6.953470e-01*|ThermalCond_wtd_std - (8.385906e-01*ThermalCond_wtd_mean-1.712349e+01)|); $\left(\left(\frac{ at_{rad, wtd, std} +4.530e+00 }{ IP_{wtd, mean}-1.049e+01 } \right) + 0.695\left(\left|ThermalCond_{wtd, std} - \left(8.386e-01ThermalCond_{wtd, mean}-1.712e+01\right)\right|\right)\right)$; (((at_rad_wtd_std+4.530152e+00) ./ (IP_wtd_mean-1.048803e+01)) + (6.953470e-01.*abs(ThermalCond_wtd_std - (8.385906e-01.*ThermalCond_wtd_mean-1.712349e+01)))); (((newdata$at_rad_wtd_std+4.530152e+00) / (newdata$IP_wtd_mean-1.048803e+01)) + (6.953470e-01*abs(newdata$ThermalCond_wtd_std - (8.385906e-01*newdata$ThermalCond_wtd_mean-1.712349e+01)))); at_rad_wtd_std,IP_wtd_mean,ThermalCond_wtd_std,ThermalCond_wtd_mean
# 4;  2; W * g^-1 * mK^-1 * mol;                           38|7|div|27|2|mult|add:3.7628648735315e+02,0.0000000000000e+00,-1.0224517429912e+00,-3.2026179519249e-02,-1.1564659325283e+02,-1.7348143677077e+01; (((ThermalCond_wtd_mean-1.156466e+02) / (at_mass_mean-1.734814e+01)) + 3.762865e+02*((PE_range-1.022452e+00) * (lambda4w_low-3.202618e-02))); $\left(\left(\frac{ ThermalCond_{wtd, mean} -1.156e+02 }{ at_{mass, mean}-1.735e+01 } \right) + 376.0\left(\left(PE_{range}-1.022e+00\right) * \left(lambda4w_{low}-3.203e-02\right)\right)\right)$; (((ThermalCond_wtd_mean-1.156466e+02) ./ (at_mass_mean-1.734814e+01)) + (3.762865e+02.*((PE_range-1.022452e+00) .* (lambda4w_low-3.202618e-02)))); (((newdata$ThermalCond_wtd_mean-1.156466e+02) / (newdata$at_mass_mean-1.734814e+01)) + (3.762865e+02*((newdata$PE_range-1.022452e+00) * (newdata$lambda4w_low-3.202618e-02)))); ThermalCond_wtd_mean,at_mass_mean,PE_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02, -1.760281718175121e+00,  2.571173413950474e+02,  2.900553225365479e+03,  3.429638129252374e+01, -6.888383622558567e+01, -8.364578711077794e+00
Se2Ta1      ,  1.250000000000000e-01, -1.179147093175955e+00,  1.665988483928736e+02, -1.855165210652601e+03,  6.321414736055407e+01,  1.562627705818795e+01,  2.031140058177760e+01
Ti1         ,  1.620000000000000e-01,  8.699982561106223e-01,  5.153729126698311e+01,  7.689058142591999e+03,  3.188015644090058e+01, -3.743634391607594e-01,  8.780448831424717e+00
B1Mo1       ,  2.500000000000000e-01,  1.168842994183816e+00,  1.458787424204367e+02,  1.266081517084065e+02,  3.282232837546464e+01,  7.006881580844773e-01,  8.838624535724319e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.241573351316446e+00,  2.211203543256920e+02, -1.206551186059405e+03,  3.364718392427775e+01,  1.591286413454507e-01,  4.684186815706662e+00
Pt1Te1      ,  5.900000000000000e-01,  2.331336720005432e+00,  9.927204281897761e+01,  1.764933866609738e+03,  2.633588262759932e+01,  1.101009621406598e+01,  8.541392982145956e+00
Sb1V3       ,  6.500000000000000e-01,  1.938331291472410e+00,  4.938397021462132e+01,  4.081918524760584e+03,  3.448548125469974e+01,  1.596169995904173e+00,  5.678380066710434e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.877276622105975e+00,  1.939506955848767e+02,  2.404052573906579e+03,  1.611890680800230e+01,  2.802227381353690e-01,  4.285485750140984e+00
Rh1Te2      ,  7.550000000000000e-01,  7.342021630020730e-01,  9.776936733698845e+01,  1.473553876926119e+04,  3.379735284607394e+01,  2.748989338864943e+01,  9.461103703094425e+00
Zr1         ,  9.966666670000000e-01,  7.877179778884491e-01,  5.153729126698311e+01,  7.635564927439437e+03,  3.059608583765259e+01,  1.544296281136635e-01,  9.955369022366598e+00
Be2Ta3      ,  1.000000000000000e+00,  1.465976151139158e+00,  1.547266204098851e+02, -3.561052114223833e+03,  3.367540679002791e+01,  4.629476785257351e+00,  1.130033599343062e+01
C1Si1       ,  1.075000000000000e+00,  2.699103567815116e+00,  7.493167782171234e+01,  5.827351892037474e+03,  5.244430698504715e+01,  6.313187883134000e+01,  1.463145837689114e+01
Nb3Sb1      ,  1.100000000000000e+00,  1.763133264812295e+00,  5.394786471909079e+01,  6.370340221296394e+03,  3.453632847493078e+01,  4.751686067659250e+00,  5.365512741909337e+00
Nb1O1       ,  1.380000000000000e+00,  3.939472837512496e+00,  1.575157280068381e+02,  1.431218920462953e+03,  3.309265261320132e+01, -1.840064859084544e+00, -1.170881657319328e+01
Sb1         ,  1.416666667000000e+00,  7.579978084607027e-01,  5.153729126698311e+01,  7.375920102774750e+03,  4.337204597293638e+01, -3.634358947450078e-01,  6.172977301646206e+00
Sb1Sn1      ,  1.430000000000000e+00,  1.257655700369277e+00,  6.956031705587607e+01,  6.906035510233382e+03,  2.094044165945200e+01, -1.512234089489007e+00,  9.058563695450124e+00
S2Ta1       ,  1.488116666500000e+00,  6.079037868099264e-01,  1.889216478227405e+02,  1.074364547910421e+04,  3.738841341362032e+01,  1.428074417983536e+01,  2.706543630068466e+00
B2C2Y1      ,  1.800000000000000e+00,  2.887035461879139e+00,  2.153241343920288e+02,  1.762603363503398e+03,  3.378453679152597e+01,  7.130528068765557e+00, -5.804650664414694e+00
Re2Y1       ,  1.830000000000000e+00,  3.324386261364432e+00,  9.976072160487539e+01, -6.888048647755151e+03,  3.566117040660760e+01, -1.490658696624042e+00,  3.338282367578625e+00
S1Y1        ,  1.900000000000000e+00,  2.313662221556572e+00,  2.965908752611001e+02,  3.040155200647483e+03,  3.046368485325104e+01,  1.048812672986859e+01, -6.106188507817477e+00
Ga2Pt1      ,  1.900000000000000e+00,  1.499797005803147e+00,  1.823175104432073e+02,  1.412652089921940e+02,  2.843216266166144e+01, -5.786897328211125e-01,  5.434560360487109e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  4.161233382858518e+00,  1.030504387181089e+02,  6.917758583148412e+03,  3.244011879569604e+01,  6.709960239994952e+01,  1.038143688044444e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.666582497351310e+00,  3.726435987679765e+01,  5.477826742923327e+03,  3.370546450990814e+01,  3.315184992237754e+00, -5.024188992046455e+00
Be2Nb1      ,  2.150000000000000e+00,  2.208499384205580e+00,  1.255218612474799e+02,  1.689700577174119e+02,  3.379215684103782e+01,  2.546896459350625e+01,  1.230810565356094e+01
In1Te1      ,  2.206000000000000e+00,  1.203034381285758e+00,  2.654171669935335e+02,  5.445051186792468e+03,  1.342767856231381e+01,  1.311821077669948e+01,  6.753913118922000e+00
C2Cl2Y2     ,  2.300000000000000e+00,  3.587766752983045e+00,  2.364605006730554e+02, -1.154435221475055e+03,  2.075793942180617e+01,  9.896651276026420e+00, -3.453642451922649e+00
Be2Nb3      ,  2.300000000000000e+00,  7.848293831011848e-01,  1.721878163767456e+02, -1.245047880287711e+03,  3.442573692981698e+01,  3.175333630814885e+00,  1.144943109512457e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.039949526249252e+00,  1.006379264939288e+02,  2.001527799500298e+03,  2.450579128618100e+01, -1.116805290560028e+00, -6.478924961957351e+00
Bi1Nb3      ,  2.516666667000000e+00,  1.655903601327420e+00,  9.727148589728577e+01,  1.857446951043653e+03,  3.452545250022453e+01, -3.039890426609947e-01,  6.068821037470289e+00
Re1         ,  2.581333333000000e+00,  2.406790166304454e+00,  5.153729126698311e+01,  7.446472363640138e+03,  1.519988621176266e+01,  1.434558016999632e+01,  1.002423224957690e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.763555293548142e+00,  1.036602767426965e+02,  3.064578224633181e+03,  3.203164589471022e+01,  6.902453748463174e+00,  9.227745282996691e-01
Nb3Rh1      ,  2.742333333000000e+00,  2.189784165145499e+00,  4.139000039575929e+01,  5.768155026220567e+03,  3.503028420344683e+01,  3.369439162979108e+00,  3.368344552686683e+00
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.619002407002686e+00,  1.875426447155465e+02,  4.836069523681002e+03, -1.816409804519281e+01, -8.122097499735333e-01,  1.665530185256319e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  3.629876969959759e+00,  2.256494353582163e+02,  3.930842307685853e+03, -3.557501731620087e+01,  1.356667417316531e+00,  6.495171558953522e+00
