# c0 + a0 * (((std_PE-5.934997e+02) / (wtd_mean_ThermalCond-1.069552e+02)) + 7.323449e+01*|wtd_range_EA - (1.377856e+00*mean_EA-4.596341e-01)|) + a1 * (((wtd_range_at_mass-1.998122e+01) / (density-7.993562e+00)) + 8.064993e+01*((std_at_mass+2.355398e+02) / (wtd_mean_at_mass+2.672172e+02))) + a2 * (((w_log-1.001269e+03) / (lambda+1.685775e+13)) + 3.756507e+00*((mean_at_rad-1.000000e+02) / (wtd_mean_at_rad-1.142362e+00))) + a3 * (((range_IP-1.362241e+03) / (wtd_mean_at_mass-1.002656e+02)) + 2.078379e+00*((wtd_std_PE-9.728042e-01) / (lambda3-4.834391e-02))) + a4 * ((wtd_mean_IP + 7.513365e-01*lambda) + 3.788359e-05*((wtd_range_IP+1.926483e+04) / (density-2.631249e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.06550766281638; Max AE: 2.66745941673535
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.118675242143741e-02, -4.560332798416166e-02,  1.580259953135056e-04,  7.696074783604264e-03,  1.739845227353767e+00, -7.872659767959932e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W^-1 * mK;                                        36|39|div|29|26|abd|add:7.3234490052751e+01,0.0000000000000e+00,1.3778561587542e+00,-4.5963407191148e-01,-5.9349966122068e+02,-1.0695522729905e+02; (((std_PE-5.934997e+02) / (wtd_mean_ThermalCond-1.069552e+02)) + 7.323449e+01*|wtd_range_EA - (1.377856e+00*mean_EA-4.596341e-01)|); $\left(\left(\frac{ std_{PE} -5.935e+02 }{ wtd_{mean, ThermalCond}-1.070e+02 } \right) + 73.2\left(\left|wtd_{range, EA} - \left(1.378e+00mean_{EA}-4.596e-01\right)\right|\right)\right)$; (((std_PE-5.934997e+02) ./ (wtd_mean_ThermalCond-1.069552e+02)) + (7.323449e+01.*abs(wtd_range_EA - (1.377856e+00.*mean_EA-4.596341e-01)))); (((newdata$std_PE-5.934997e+02) / (newdata$wtd_mean_ThermalCond-1.069552e+02)) + (7.323449e+01*abs(newdata$wtd_range_EA - (1.377856e+00*newdata$mean_EA-4.596341e-01)))); std_PE,wtd_mean_ThermalCond,wtd_range_EA,mean_EA
# 1;  2; cm^3 * mol^-1;                                    11|2|div|12|9|div|add:8.0649927739901e+01,0.0000000000000e+00,2.3553981881514e+02,2.6721718605604e+02,-1.9981216189088e+01,-7.9935621476660e+00; (((wtd_range_at_mass-1.998122e+01) / (density-7.993562e+00)) + 8.064993e+01*((std_at_mass+2.355398e+02) / (wtd_mean_at_mass+2.672172e+02))); $\left(\left(\frac{ wtd_{range, at, mass} -1.998e+01 }{ density-7.994e+00 } \right) + 80.6\left(\frac{ std_{at, mass} +2.355e+02 }{ wtd_{mean, at, mass}+2.672e+02 } \right)\right)$; (((wtd_range_at_mass-1.998122e+01) ./ (density-7.993562e+00)) + (8.064993e+01.*((std_at_mass+2.355398e+02) ./ (wtd_mean_at_mass+2.672172e+02)))); (((newdata$wtd_range_at_mass-1.998122e+01) / (newdata$density-7.993562e+00)) + (8.064993e+01*((newdata$std_at_mass+2.355398e+02) / (newdata$wtd_mean_at_mass+2.672172e+02)))); wtd_range_at_mass,density,std_at_mass,wtd_mean_at_mass
# 2;  2; K;                                                4|5|div|14|15|div|add:3.7565066676779e+00,0.0000000000000e+00,-1.0000000000000e+02,-1.1423617818416e+00,-1.0012688541786e+03,1.6857746637093e+13; (((w_log-1.001269e+03) / (lambda+1.685775e+13)) + 3.756507e+00*((mean_at_rad-1.000000e+02) / (wtd_mean_at_rad-1.142362e+00))); $\left(\left(\frac{ w_{log} -1.001e+03 }{ lambda+1.686e+13 } \right) + 3.76\left(\frac{ mean_{at, rad} -1.000e+02 }{ wtd_{mean, at, rad}-1.142e+00 } \right)\right)$; (((w_log-1.001269e+03) ./ (lambda+1.685775e+13)) + (3.756507e+00.*((mean_at_rad-1.000000e+02) ./ (wtd_mean_at_rad-1.142362e+00)))); (((newdata$w_log-1.001269e+03) / (newdata$lambda+1.685775e+13)) + (3.756507e+00*((newdata$mean_at_rad-1.000000e+02) / (newdata$wtd_mean_at_rad-1.142362e+00)))); w_log,lambda,mean_at_rad,wtd_mean_at_rad
# 3;  2; eV * g^-1 * mol;                                  22|9|div|37|7|div|add:2.0783794623143e+00,0.0000000000000e+00,-9.7280421321175e-01,-4.8343906690105e-02,-1.3622409660060e+03,-1.0026559290348e+02; (((range_IP-1.362241e+03) / (wtd_mean_at_mass-1.002656e+02)) + 2.078379e+00*((wtd_std_PE-9.728042e-01) / (lambda3-4.834391e-02))); $\left(\left(\frac{ range_{IP} -1.362e+03 }{ wtd_{mean, at, mass}-1.003e+02 } \right) + 2.08\left(\frac{ wtd_{std, PE} -9.728e-01 }{ lambda3-4.834e-02 } \right)\right)$; (((range_IP-1.362241e+03) ./ (wtd_mean_at_mass-1.002656e+02)) + (2.078379e+00.*((wtd_std_PE-9.728042e-01) ./ (lambda3-4.834391e-02)))); (((newdata$range_IP-1.362241e+03) / (newdata$wtd_mean_at_mass-1.002656e+02)) + (2.078379e+00*((newdata$wtd_std_PE-9.728042e-01) / (newdata$lambda3-4.834391e-02)))); range_IP,wtd_mean_at_mass,wtd_std_PE,lambda3
# 4;  2; eV;                                               21|5|add|23|2|div|add:3.7883593618216e-05,0.0000000000000e+00,1.9264830379831e+04,-2.6312493796021e+00,7.5133647954407e-01,0.0000000000000e+00; ((wtd_mean_IP + 7.513365e-01*lambda) + 3.788359e-05*((wtd_range_IP+1.926483e+04) / (density-2.631249e+00))); $\left(\left(wtd_{mean, IP} + 0.751lambda\right) + 3.79e-05\left(\frac{ wtd_{range, IP} +1.926e+04 }{ density-2.631e+00 } \right)\right)$; ((wtd_mean_IP + (7.513365e-01.*lambda)) + (3.788359e-05.*((wtd_range_IP+1.926483e+04) ./ (density-2.631249e+00)))); ((newdata$wtd_mean_IP + (7.513365e-01*newdata$lambda)) + (3.788359e-05*((newdata$wtd_range_IP+1.926483e+04) / (newdata$density-2.631249e+00)))); wtd_mean_IP,lambda,wtd_range_IP,density
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01, -1.438716135457117e+00,  5.501096122714780e+01,  1.534628974590797e+02, -1.027688261816600e+03,  1.025016933715450e+01,  7.414730725973214e+00
B1Mo1       ,  2.500000000000000e-01,  6.088883116704875e-01,  2.555203467066051e+01,  1.078388528924472e+02, -7.791652126843335e+03,  8.329006558650178e+00,  8.208027399453597e+00
Cr3Ir1      ,  2.560000000000000e-01, -9.831732235695351e-01, -4.968384481968663e+02,  6.668922762055374e+01, -1.466094718894667e+03,  1.024683133627652e+02,  8.582271007696862e+00
Al1Os1      ,  3.900000000000000e-01,  5.434492265765484e-01,  8.980527787878584e+00,  7.948487894743458e+01, -2.029549451208270e+03, -1.751891508721132e+02,  7.822196608334711e+00
Al1Mo3      ,  5.800000000000000e-01, -2.754519666843882e-02, -3.907574601819180e+00,  1.363368597197436e+02, -1.175628498075323e+03,  2.311648909809306e+02,  7.191995902581779e+00
Sb1V3       ,  6.500000000000000e-01,  1.725344523477049e+00,  4.519755699703059e+01,  1.081396535303490e+02, -1.049705187844040e+03,  3.970623824344266e+01,  7.980144905538806e+00
Nb3Os1      ,  6.633333330000000e-01,  2.637417952894660e+00,  5.124851075297403e+01,  6.027460462888259e+01, -8.262602063362466e+02, -9.043561415975684e+01,  7.766245819934509e+00
B2Ru1       ,  8.000000000000000e-01,  1.308329747610464e+00,  3.330647774136357e+01,  5.846439343342142e+01,  3.881703611950053e+03, -4.909139120298717e+02,  8.414121541693646e+00
La1Se1      ,  1.020000000000000e+00,  7.395330073438827e-01,  4.375306069759873e+01,  5.077560373365804e+01, -7.500611295393202e+02, -4.675842330748119e+02,  8.135992091496920e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.256302330625891e+00, -3.913465103165869e+01,  6.009092504721362e+01, -1.948737212415596e+03,  2.794373860098513e+01,  7.701829875147403e+00
Co1Si2      ,  1.306666667000000e+00,  1.725773748691076e+00, -4.416825069587375e+00,  7.282140345919444e+01, -2.104516471177250e+04,  1.721833185606905e+02,  8.603805074178839e+00
Nb1O1       ,  1.380000000000000e+00,  1.853466289566256e+00,  7.172002475399098e+01,  4.869516252299901e+01, -4.861483089345261e+04,  2.737514798752956e+01,  1.069991682297404e+01
Cr1         ,  1.550000000000000e+00,  1.944310525452522e+00,  7.935432187872507e+01,  7.384787625478683e+01, -1.495847956161268e+03, -1.917743113618155e+01,  7.288542491991453e+00
Hg2Na1      ,  1.620000000000000e+00,  1.848055872327014e+00,  3.022197250469403e+01,  1.358684105023979e+02, -1.271931457390845e+03, -3.876117437898063e+01,  9.241045399605273e+00
Ga2Y1       ,  1.680000000000000e+00,  2.317963753302835e+00,  1.742908080397968e+01,  5.920290196970873e+01, -1.215064340600526e+03,  5.543514701663805e+01,  7.162060500737702e+00
Be2Nb1      ,  2.150000000000000e+00,  3.175511548923573e+00, -5.329328821818899e+00,  7.174862221014236e+01, -8.362248721292184e+03, -1.637964216405219e+01,  9.096945250919589e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.835836052552090e+00,  7.564566108500905e+00,  7.325926764739222e+01, -1.185089445607425e+03,  9.069947919599568e+01,  7.732862702734999e+00
B1Hf1       ,  3.100000000000000e+00,  3.052222704043051e+00,  3.706572073446184e+01,  9.173840257760997e+01, -2.429181859606518e+03,  1.621235389481675e+02,  7.948967342677490e+00
B1Zr1       ,  3.100000000000000e+00,  2.993248781004502e+00,  1.088579205638653e+01,  6.098677132748491e+01, -2.429181859606515e+03, -8.386526497311635e+00,  8.031604547591895e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.578537040087509e+00,  1.599030403099707e+01,  6.639457450409992e+01, -1.900986064820997e+03,  7.074043197535147e+01,  8.078944110925848e+00
Sn1         ,  3.740729412000000e+00,  3.871703345954830e+00,  1.022809629206815e+02,  5.743310488313623e+01, -1.495847956161283e+03, -1.134539124832907e+01,  7.784031390903723e+00
B1Ta1       ,  4.000000000000000e+00,  5.285511631002682e+00,  1.422021925768002e+01,  8.180340646301120e+01, -2.905712008917682e+03,  3.504957990671816e+02,  8.329095499653707e+00
Sn1V3       ,  4.462500000000000e+00,  3.495964977797041e+00,  5.536313757176509e+01,  8.758648790318837e+01, -1.049705187844045e+03,  4.173744323217417e+01,  8.384764552987948e+00
B2Nb1       ,  4.597500000000000e+00,  5.759416575981885e+00,  2.545511698032603e+01,  6.992644248366834e+01,  1.040308642311121e+04,  1.638750073989232e+01,  8.487029187461713e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  3.550180292222730e+00, -1.189685357049134e+01,  6.755787909736794e+01, -1.318097741400398e+03,  2.007035380038988e+01,  8.443637322918299e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.702880174150593e+00,  1.482877453572518e+01,  6.995531231095710e+01, -4.584426746766935e+03,  4.306612995742963e+01,  8.617357090910627e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  6.048499212636227e+00,  2.744325351701261e+01,  6.388499178807844e+01, -1.302291549490857e+03,  3.532517414266446e+01,  9.461449104313655e+00
Os0.5V0.5   ,  5.150000000000000e+00,  3.525992493384746e+00,  3.964080141775136e+01,  7.099676590048263e+01, -1.080067064191810e+03, -6.831229540141977e+01,  8.557832733656799e+00
Ir1Ti3      ,  5.185000000000000e+00,  5.983534355775329e+00,  3.617164494227284e+01,  6.222092126673119e+01, -9.021278872626772e+02,  8.321205361744320e+01,  9.076201255475308e+00
Ir1Mo1      ,  5.325000000000000e+00,  3.875097575733318e+00,  3.713972643355213e+01,  5.906720413850333e+01, -1.112649717407656e+03, -7.441688452441932e+01,  8.491842123497150e+00
La1         ,  5.343000000000000e+00,  3.799659679328752e+00,  2.310906463423407e+01,  5.755460717265828e+01, -3.965713041621508e+02, -3.531133677330033e+01,  8.261029618053323e+00
N1Ti1       ,  5.387500000000000e+00,  4.841255747155215e+00,  3.874620602367440e+01,  6.946437646378523e+01, -2.938008324524678e+04,  1.793363642158333e+01,  1.146830535304608e+01
B6Y1        ,  5.692857143000000e+00,  5.135347274546373e+00,  2.566210062131679e+01,  8.046076464986137e+01,  2.454291729425421e+03,  1.074421412328219e+01,  9.150055244812133e+00
Nb1S2       ,  5.821818182000000e+00,  6.753582370104430e+00,  4.325597698215042e+01,  6.985399449553822e+01, -3.551892794805015e+03,  9.439052818262658e+01,  9.864542785391269e+00
