# c0 + a0 * ((((at_mass_wtd_mean-1.853124e+02) * (PE_std-1.041881e+00))+8.496262e+01) * ((sin(4.632650e+01*PE_std+7.647313e-01))-4.390054e+00)) + a1 * ((((IP_mean+9.062386e+00) / (L_avg-2.091512e+00))-2.533619e+00) * (((at_mass_std+4.523941e+01) * (L_avg-4.080725e+00))+9.248874e+01)) + a2 * ((((at_mass_std-8.155298e+01) / (IP_mean-9.297655e+00))+3.189152e+01) * (((ThermalCond_mean+5.692226e+00) * (PE_range+1.852781e+00))-2.216434e+02)) + a3 * (((sqrt(1.0*lambda4w_low-3.599114e-05))-5.185980e-02) * (((EA_wtd_range-1.776802e+00) / (w_log-6.455871e-02))-1.791967e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.09483174401186; Max AE: 2.59754477509216
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.922359674996987e-03, -4.878905383206871e-03,  1.036535627033259e-04,  2.167273981377424e+00,  8.654592278944619e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       8|29|mult|29|sin|mult:8.4962619089618e+01,-4.3900542340288e+00,4.6326500698147e+01,7.6473134867338e-01,-1.8531236389401e+02,-1.0418812438149e+00; ((((at_mass_wtd_mean-1.853124e+02) * (PE_std-1.041881e+00))+8.496262e+01) * ((sin(4.632650e+01*PE_std+7.647313e-01))-4.390054e+00)); $\left(\left(\left(\left(at_{mass, wtd, mean}-1.853e+02\right) * \left(PE_{std}-1.042e+00\right)\right)+8.496e+01\right) * \left(\left(\sin{ \left(4.633e+01PE_{std}+7.647e-01 \right)}\right)-4.390e+00\right)\right)$; ((((at_mass_wtd_mean-1.853124e+02) .* (PE_std-1.041881e+00))+8.496262e+01) .* (sin(4.632650e+01.*PE_std+7.647313e-01)-4.390054e+00)); ((((newdata$at_mass_wtd_mean-1.853124e+02) * (newdata$PE_std-1.041881e+00))+8.496262e+01) * (sin(4.632650e+01*newdata$PE_std+7.647313e-01)-4.390054e+00)); at_mass_wtd_mean,PE_std,PE_std
# 1;  2; eV * g * mol^-1;                                  19|4|div|11|4|mult|mult:-2.5336194393136e+00,9.2488744757372e+01,4.5239409224001e+01,-4.0807245230774e+00,9.0623858597488e+00,-2.0915123392467e+00; ((((IP_mean+9.062386e+00) / (L_avg-2.091512e+00))-2.533619e+00) * (((at_mass_std+4.523941e+01) * (L_avg-4.080725e+00))+9.248874e+01)); $\left(\left(\left(\frac{ IP_{mean} +9.062e+00 }{ L_{avg}-2.092e+00 } \right)-2.534e+00\right) * \left(\left(\left(at_{mass, std}+4.524e+01\right) * \left(L_{avg}-4.081e+00\right)\right)+9.249e+01\right)\right)$; ((((IP_mean+9.062386e+00) ./ (L_avg-2.091512e+00))-2.533619e+00) .* (((at_mass_std+4.523941e+01) .* (L_avg-4.080725e+00))+9.248874e+01)); ((((newdata$IP_mean+9.062386e+00) / (newdata$L_avg-2.091512e+00))-2.533619e+00) * (((newdata$at_mass_std+4.523941e+01) * (newdata$L_avg-4.080725e+00))+9.248874e+01)); IP_mean,L_avg,at_mass_std,L_avg
# 2;  2; W * eV^-1 * g * mK^-1 * mol^-1;                   11|19|div|37|27|mult|mult:3.1891520167124e+01,-2.2164343585518e+02,5.6922263475608e+00,1.8527806286831e+00,-8.1552983384334e+01,-9.2976554199522e+00; ((((at_mass_std-8.155298e+01) / (IP_mean-9.297655e+00))+3.189152e+01) * (((ThermalCond_mean+5.692226e+00) * (PE_range+1.852781e+00))-2.216434e+02)); $\left(\left(\left(\frac{ at_{mass, std} -8.155e+01 }{ IP_{mean}-9.298e+00 } \right)+3.189e+01\right) * \left(\left(\left(ThermalCond_{mean}+5.692e+00\right) * \left(PE_{range}+1.853e+00\right)\right)-2.216e+02\right)\right)$; ((((at_mass_std-8.155298e+01) ./ (IP_mean-9.297655e+00))+3.189152e+01) .* (((ThermalCond_mean+5.692226e+00) .* (PE_range+1.852781e+00))-2.216434e+02)); ((((newdata$at_mass_std-8.155298e+01) / (newdata$IP_mean-9.297655e+00))+3.189152e+01) * (((newdata$ThermalCond_mean+5.692226e+00) * (newdata$PE_range+1.852781e+00))-2.216434e+02)); at_mass_std,IP_mean,ThermalCond_mean,PE_range
# 3;  2; eV^0.5;                                           2|sqrt|34|1|div|mult:-5.1859800286087e-02,-1.7919667534996e+01,-1.7768021673541e+00,-6.4558712819863e-02,1.0000000000000e+00,-3.5991140006607e-05; (((sqrt(1.0*lambda4w_low-3.599114e-05))-5.185980e-02) * (((EA_wtd_range-1.776802e+00) / (w_log-6.455871e-02))-1.791967e+01)); $\left(\left(\left(\sqrt{ 1.0lambda4w_{low}-3.599e-05 }\right)-5.186e-02\right) * \left(\left(\frac{ EA_{wtd, range} -1.777e+00 }{ w_{log}-6.456e-02 } \right)-1.792e+01\right)\right)$; ((sqrt(1.0.*lambda4w_low-3.599114e-05)-5.185980e-02) .* (((EA_wtd_range-1.776802e+00) ./ (w_log-6.455871e-02))-1.791967e+01)); ((sqrt(1.0*newdata$lambda4w_low-3.599114e-05)-5.185980e-02) * (((newdata$EA_wtd_range-1.776802e+00) / (newdata$w_log-6.455871e-02))-1.791967e+01)); lambda4w_low,EA_wtd_range,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  2.517589608289620e+00, -5.572745306767160e+02,  5.891193699271342e+02,  5.159632315586477e+03, -4.865345168494621e-01
Se2Ta1      ,  1.250000000000000e-01, -1.494854461789804e-01, -5.428598985591290e+02,  4.697984280112631e+02, -1.167884152873692e+04, -1.213169383164340e+00
Ti1         ,  1.620000000000000e-01, -2.929447717260025e-02, -8.436858990213714e+02,  5.219291030560507e+02, -1.106912596018317e+04, -3.862752302048206e-01
B1Mo1       ,  2.500000000000000e-01,  1.015496064444085e+00, -1.025754993329268e+03,  5.379752839072055e+02, -2.623768625500249e+03,  1.415290720764033e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.276211965461598e+00, -7.812679804731383e+02,  5.376824596463106e+02,  3.034186994209992e+03, -1.033098528350694e-01
Pt1Te1      ,  5.900000000000000e-01,  3.716664398022831e-01, -5.782991181572220e+02,  6.207318667900805e+02, -2.469642598378419e+04,  7.015033961366522e-02
Sb1V3       ,  6.500000000000000e-01, -2.063231893122706e-01, -9.585902356222733e+02,  5.459113003151705e+02, -8.887652904382165e+03, -2.573292914994431e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.260818929525044e+00, -9.577753794172463e+02,  5.008781131227196e+02,  4.021353550173820e+03,  1.604092786587227e-01
Rh1Te2      ,  7.550000000000000e-01,  1.790017767268022e+00, -7.926740910327554e+02,  3.285207680588004e+02, -5.292016009273765e+03, -3.743825102467145e-01
Zr1         ,  9.966666670000000e-01,  1.707679983177919e+00, -6.766574752437762e+02,  5.273871238584468e+02, -1.056635973235347e+04,  2.406335483977550e-02
Be2Ta3      ,  1.000000000000000e+00,  1.012080397875163e+00, -5.875430203524355e+02,  7.454459845062192e+02,  6.826095184274803e+02, -5.464045166227360e-01
C1Si1       ,  1.075000000000000e+00,  1.097016379430257e+00, -9.160169756061766e+02,  5.992404500970596e+02, -2.303694289517763e+04,  1.044117082084875e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.760840603858573e+00, -8.302005776248222e+02,  4.515775381981787e+02, -8.773193260741245e+03,  1.409009625956677e-01
Nb1O1       ,  1.380000000000000e+00,  2.613367936037780e+00, -4.997533608861814e+02,  6.750707697495209e+02,  1.663225999870894e+03, -2.122719340888181e-01
Sb1         ,  1.416666667000000e+00,  1.655743843031130e+00, -5.590075154854966e+02,  7.288444199084173e+02, -2.597718394586262e+04,  9.234541928383010e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.194174346935329e+00, -6.146351328916511e+02,  5.328690540325867e+02, -1.142229526900707e+04,  1.609471433312566e-01
S2Ta1       ,  1.488116666500000e+00,  2.262954515727571e+00, -5.185877376579519e+02,  6.574569581979769e+02, -8.847864783812445e+03,  1.318802360812233e-01
B2C2Y1      ,  1.800000000000000e+00,  2.026422445701098e+00, -5.779209028480587e+02,  6.055039889643435e+02, -7.751956402060580e+02, -3.455432174014344e-01
Re2Y1       ,  1.830000000000000e+00,  2.942498058639266e+00, -5.475781158662667e+02,  3.605097499849826e+02, -5.799109302565813e+03, -3.030195950674346e-01
S1Y1        ,  1.900000000000000e+00,  2.078346892182020e+00, -4.734608935582572e+02,  5.546774085507744e+02, -1.482845562339428e+04, -1.134940653528012e-03
Ga2Pt1      ,  1.900000000000000e+00,  1.851123754109420e+00, -7.489444091887141e+02,  5.565166443251761e+02, -3.851522012790872e+03, -1.143711387275173e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.510639733441794e+00, -8.095472247842506e+02,  5.379801954866374e+02,  5.263132681157307e+03, -3.684716997902426e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.049946320348941e+00, -6.003238013850116e+02,  4.486344096627535e+02, -2.004990115518769e+03, -1.167213208098883e-01
Be2Nb1      ,  2.150000000000000e+00,  1.368898602694099e+00, -8.058755001940689e+02,  5.902390763960723e+02,  1.190367184096300e+03, -2.595656147814480e-01
In1Te1      ,  2.206000000000000e+00,  2.881925899116583e+00, -4.869894893852998e+02,  5.059290380186770e+02, -8.355705544707707e+03, -1.894102903661877e-02
C2Cl2Y2     ,  2.300000000000000e+00,  1.270506802663742e+00, -4.500388923375445e+02,  5.970707719369003e+02,  3.402214749035871e+01, -1.042464826003258e+00
Be2Nb3      ,  2.300000000000000e+00,  1.901342944594254e+00, -7.278533604044350e+02,  5.459048407256840e+02,  1.190367184096300e+03, -2.909004780306138e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.858772878181985e+00, -3.433553048182907e+02,  5.084157100667401e+02, -2.911183688346175e+03, -1.492355794308801e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  2.994548437243889e+00, -5.552801947556193e+02,  5.557785837685815e+02, -2.074174528042741e+03, -7.765469105467884e-05
Bi1Nb3      ,  2.516666667000000e+00,  1.879563327159705e+00, -7.251684648276566e+02,  5.412237140835858e+02, -5.838898291243043e+03,  1.860076747099543e-02
Re1         ,  2.581333333000000e+00,  3.476883309189801e+00, -3.107205629495797e+02,  6.546471736615306e+02, -1.092363972499194e+04,  3.128377861718447e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.533240127826554e+00, -6.550567812871068e+02,  5.126186529999386e+02, -2.318306491978260e+03, -7.179915157415441e-02
Nb3Rh1      ,  2.742333333000000e+00,  3.112216021058120e+00, -7.570333501179042e+02,  4.078189267081027e+02,  3.418159757495576e+03, -8.332140008769240e-02
