# c0 + a0 * (range_at_rad * density) + a1 * (|wtd_std_EA - wtd_mean_EA|) + a2 * (std_at_rad - (4.716188e-01*range_at_rad)) + a3 * cbrt(lambda) + a4 * (w_log / wtd_mean_at_mass)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.02665142345636; Max AE: 7.70501086800916
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  7.257627886734802e-01,  6.975836709002675e+00, -9.421090102483066e+01,  1.162743800510624e+01,  7.206997921999654e-01, -1.384777731079909e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * cm^-3 * g;                                   16|2|mult; (range_at_rad * density); $\left(range_{at, rad} density\right)$; (range_at_rad .* density); (newdata$range_at_rad * newdata$density); range_at_rad,density
# 1;  1; eV;                                               31|27|abd; (|wtd_std_EA - wtd_mean_EA|); $\left(\left|wtd_{std, EA} - wtd_{mean, EA}\right|\right)$; abs(wtd_std_EA - wtd_mean_EA); abs(newdata$wtd_std_EA - newdata$wtd_mean_EA); wtd_std_EA,wtd_mean_EA
# 2;  1; AA;                                               18|16|sub:4.7161875662660e-01,0.0000000000000e+00; (std_at_rad - (4.716188e-01*range_at_rad)); $\left(std_{at, rad} - \left(4.716e-01range_{at, rad}\right)\right)$; (std_at_rad - (4.716188e-01.*range_at_rad)); (newdata$std_at_rad - (4.716188e-01*newdata$range_at_rad)); std_at_rad,range_at_rad
# 3;  1; Unitless;                                         5|cbrt; cbrt(lambda); $\left(\sqrt[3]{ lambda }\right)$; nthroot(lambda, 3); nthroot(newdata$lambda, 3); lambda
# 4;  1; K * g^-1 * mol;                                   4|9|div; (w_log / wtd_mean_at_mass); $\left(\frac{ w_{log} }{ wtd_{mean, at, mass} } \right)$; (w_log ./ wtd_mean_at_mass); (newdata$w_log / newdata$wtd_mean_at_mass); w_log,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  1.970512931020392e+00,  8.701000000000000e-01,  4.361000000000000e-01,  3.121936771073593e-03,  7.767805056618703e-01,  4.727065264145779e+00
B1Mo1       ,  2.500000000000000e-01,  4.684708040744604e+00,  6.013000000000000e+00,  2.770000000000000e-01,  1.986687036137741e-02,  8.040420429653392e-01,  6.603156731237589e+00
Sb1V3       ,  6.500000000000000e-01,  2.031086192913766e+00,  1.079400000000000e+00,  4.459000000000000e-01,  3.973374072275479e-03,  9.364085074913270e-01,  2.041422600846953e+00
Nb3Os1      ,  6.633333330000000e-01,  4.152239659683238e+00,  2.252000000000000e+00,  8.630000000000000e-01,  5.676248674679266e-03,  8.349603767636989e-01,  1.625873335533998e+00
Ti1O1       ,  7.200000000000000e-01,  6.083705818595372e+00,  5.160600000000000e+00,  7.900000000000007e-02,  2.667836877099256e-02,  4.987971084244104e-01,  1.713429283629577e+01
Ga1Mo3      ,  7.600000000000000e-01,  1.584230589652757e+00,  3.142400000000000e+00,  4.581999999999999e-01,  9.081997879486825e-03,  7.418676950890964e-01,  3.031283105109667e+00
B2Ru1       ,  8.000000000000000e-01,  4.209495527614161e+00,  4.687200000000000e+00,  2.020999999999999e-01,  1.759637089150573e-02,  7.199048228099766e-01,  9.064498459431702e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  5.958628614038294e+00,  3.199200000000000e+00,  6.462000000000000e-01, -6.796065349439578e-03,  8.978136229592979e-01,  2.632475087957086e+00
Nb1O1       ,  1.380000000000000e+00,  8.039657630214604e+00,  6.928600000000000e+00,  8.930000000000000e-01,  2.781361850592839e-02,  7.729498362782933e-01,  5.914269028830421e+00
Cr1         ,  1.550000000000000e+00,  4.634981571702716e+00,  0.000000000000000e+00,  6.660000000000000e-01,  0.000000000000000e+00,  7.659686989416105e-01,  6.841403489877125e+00
Hg2Na1      ,  1.620000000000000e+00, -1.864135292257298e+00,  3.219800000000001e+00,  5.310000000000001e-02,  9.649622746954745e-03,  8.507260232928537e-01,  4.075894344277194e-01
Ga2Y1       ,  1.680000000000000e+00,  1.865372549969824e+00,  4.120800000000000e+00,  2.993000000000000e-01,  1.929924549390949e-02,  1.053097429768361e+00,  2.885152258422198e-01
Be2Nb1      ,  2.150000000000000e+00,  2.870246901836928e+00,  3.570000000000000e+00,  8.659999999999995e-02,  1.929924549390949e-02,  7.751196485406114e-01,  8.781031039136304e+00
Ge1Mo3      ,  2.179200000000000e+00,  3.409315939990044e+00,  3.376200000000000e+00,  6.582000000000000e-01,  9.649622746954745e-03,  7.668766490569060e-01,  3.063086995117621e+00
B1Hf1       ,  3.100000000000000e+00,  2.309881702629964e+00,  1.010100000000000e+01,  0.000000000000000e+00,  2.582693146979065e-02,  7.374197940162812e-01,  3.726384633265009e+00
B1Zr1       ,  3.100000000000000e+00,  4.091229219048728e+00,  5.205200000000000e+00,  2.770000000000000e-01,  2.582693146979065e-02,  7.596096795367725e-01,  8.089114752812952e+00
C1In1Ti2    ,  3.100000000000000e+00,  4.254054622649372e+00,  5.341800000000000e+00,  2.629999999999999e-02, -3.530831826514519e-02,  6.383322463757840e-01,  4.569018473820517e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.420468180783641e+00,  5.896800000000000e+00,  2.921999999999999e-01,  1.589349628910192e-02,  9.308636521788708e-01,  2.253378188051798e+00
Sn1         ,  3.740729412000000e+00,  2.544130900287067e+00,  0.000000000000000e+00,  1.200000000000000e+00,  0.000000000000000e+00,  6.333025531362916e-01,  9.119164350096876e-01
B1Ta1       ,  4.000000000000000e+00,  4.679895913487447e+00,  1.216040000000000e+01,  2.770000000000000e-01,  2.440786930112082e-02,  6.113577210992747e-01,  4.108179342469354e+00
Sn1V3       ,  4.462500000000000e+00,  4.193624421878955e+00,  1.048600000000000e+00,  4.270000000000000e-01,  3.973374072275479e-03,  1.212417360719122e+00,  8.029862882934906e-01
B2Nb1       ,  4.597500000000000e+00,  6.453853374825934e+00,  5.424000000000000e+00,  2.172000000000000e-01,  2.270499469871706e-02,  8.879885559762081e-01,  9.246523702741220e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  2.587702361676048e+00,  2.662800000000000e+00,  3.100000000000003e-02, -2.155975556634709e-02,  8.600198300817800e-01,  3.129841787122208e+00
Fe1Li1P1    ,  4.965000000000000e+00,  4.082536019137440e+00,  9.925000000000000e-01,  2.588000000000000e-01, -8.304689156650918e-03,  5.780992075174383e-01,  1.096218198340602e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  8.666091173264055e+00,  3.612000000000000e+00,  3.320000000000001e-02, -2.335975556634706e-02,  1.474533032299759e+00,  4.371174750888615e-01
Os0.5V0.5   ,  5.150000000000000e+00,  3.355814749171543e+00,  1.313100000000000e+00,  5.250000000000000e-01,  2.554311903605666e-03,  1.009868950091427e+00,  1.507887330017299e+00
Ir1Ti3      ,  5.185000000000000e+00,  3.174606435001246e+00,  1.694800000000000e+00,  1.369000000000000e-01,  5.392436240945306e-03,  1.276868975007164e+00,  6.919390860525643e-01
Ir1Mo1      ,  5.325000000000000e+00,  2.616961400435186e+00,  2.102100000000000e+00,  7.460000000000000e-01,  3.689561638541519e-03,  7.691935110159150e-01,  1.580388455305431e+00
La1         ,  5.343000000000000e+00,  7.083251804431525e+00,  0.000000000000000e+00,  5.000000000000000e-01,  0.000000000000000e+00,  1.488128515319332e+00,  1.942399688997196e-01
N1Ti1       ,  5.387500000000000e+00,  6.379725776066737e+00,  4.797099999999999e+00,  0.000000000000000e+00,  2.525930660232273e-02,  8.860821770853083e-01,  1.224196671288978e+01
B6Y1        ,  5.692857143000000e+00,  3.353559192516395e+00,  3.953800000000000e+00,  2.714000000000000e-01,  3.008411797580007e-02,  8.641908300479846e-01,  7.249204347291593e+00
Nb1S2       ,  5.821818182000000e+00,  6.914441676069734e+00,  2.472100000000000e+00,  1.172800000000000e+00,  1.674493359030382e-02,  6.802651791584350e-01,  6.180955838101697e+00
Ge1V3       ,  6.680000000000000e+00,  5.978555424387533e+00,  2.319900000000000e+00,  4.051999999999999e-01,  9.365810313220785e-03,  1.282871969237339e+00,  1.778651470097723e+00
Sn1Ta3      ,  6.692500000000000e+00,  6.392973366396531e+00,  4.578700000000000e+00,  1.944000000000000e-01,  8.798185445752865e-03,  1.398365439260918e+00,  1.818724892435020e-01
Ir1Mo3      ,  8.031000000000001e+00,  9.937303489818769e+00,  1.654900000000000e+00,  6.271000000000000e-01,  3.689561638541519e-03,  1.583223137914152e+00,  2.056845374980836e-01
N1V1        ,  8.528333333499999e+00,  7.305558463849473e+00,  5.174199999999999e+00,  0.000000000000000e+00,  2.327261956618498e-02,  4.663149276954353e-01,  1.965947632112976e+01
C1Ta1       ,  8.637499999999999e+00,  9.093011358070019e+00,  1.393890000000000e+01,  3.220000000000000e-01,  2.752980607219441e-02,  1.004116365617564e+00,  2.076511431938532e+00
Re3W1       ,  8.733333332999999e+00,  8.268330253576320e+00,  2.200000000000000e+00,  5.340000000000000e-02,  3.121936771073593e-03,  1.754822074856497e+00,  5.127702296093048e-02
Hf1N1       ,  8.830000000000000e+00,  5.880422652280342e+00,  1.447680000000000e+01,  0.000000000000000e+00,  2.951649310833215e-02,  8.509562479261139e-01,  2.924673546231340e+00
Nb0.75Si0.25,  9.000000000000000e+00,  7.875510758547672e+00,  3.927300000000000e+00,  8.215000000000000e-01,  1.504205898790004e-02,  1.138421947078910e+00,  1.835084933371403e+00
Ta1B2       ,  9.500000000000000e+00,  7.548750487382442e+00,  1.055220000000000e+01,  2.726000000000000e-01,  2.440786930112082e-02,  9.597699101349482e-01,  4.129795616113745e+00
Nb3Pt1      ,  9.516428571000001e+00,  1.244054542211241e+01,  5.049000000000000e+00,  7.136000000000000e-01,  1.277155951802833e-02,  1.608264529139501e+00,  2.070395472212936e-01
N1Zr1       ,  9.850000000000000e+00,  3.578165202433380e+00,  7.519200000000001e+00,  0.000000000000000e+00,  2.951649310833215e-02,  8.450694946520850e-01,  6.831650650772412e+00
C1I1Y1      ,  9.917500000000000e+00,  1.221713648878793e+01,  5.803199999999999e+00,  4.021999999999999e-01, -7.279394525312632e-02,  9.646662290801257e-01,  1.349945878752604e+00
C1Nb1       ,  1.002500000000000e+01,  1.038516328574867e+01,  6.925100000000000e+00,  8.930000000000000e-01,  2.582693146979065e-02,  9.254855011586057e-01,  6.451634609885815e+00
C1Mo1       ,  1.015200000000000e+01,  8.509557824809114e+00,  7.006500000000001e+00,  7.460000000000000e-01,  2.298880713245099e-02,  5.808785733563704e-01,  1.037876059636019e+01
Nb1Ru3      ,  1.350000000000000e+01,  5.794989131990835e+00,  2.019600000000000e+00,  9.486999999999999e-01,  5.108623807211332e-03,  9.045449112469409e-01,  2.112929431853869e+00
Mo1Ni1P1    ,  1.550000000000000e+01,  7.882509557252513e+00,  3.980900000000000e+00,  6.894000000000000e-01, -2.736081561450371e-02,  7.124309977292844e-01,  4.399226472546725e+00
Nb3Sn1      ,  1.670900000000000e+01,  9.869409171322607e+00,  2.185000000000000e+00,  8.484000000000000e-01,  7.095310843349079e-03,  1.430227032921702e+00,  3.492083621434963e-01
Ga0.25Nb0.75,  1.816296296333330e+01,  1.876068657928602e+01,  3.486000000000000e+00,  5.104000000000000e-01,  1.192012221682645e-02,  2.373013666985209e+00,  6.788389459364830e-02
B2Mg0.98    ,  3.840000000000000e+01,  3.634604175370033e+01,  1.521900000000000e+00,  6.550000000000000e-02,  1.617730872283590e-02,  8.861670793209724e-01,  5.529707356275277e+01
