# c0 + a0 * ((at_rad_wtd_range * at_mass_range) - (at_rad_range * at_mass_wtd_range)) + a1 * ((IP_wtd_mean * at_mass_wtd_std) / (L_avg^6)) + a2 * (sin(lambda) + (|PE_wtd_range|)) + a3 * ((PE_range - lambda3) * (|ThermalCond_std - ThermalCond_mean|)) + a4 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.66698803119552; Max AE: 3.70059983384691
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -5.896781758699878e-01,  5.919875934108394e+00,  2.829134893975113e+00, -1.908520426237790e-02, -8.672636570893239e+03,  3.448687955113441e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g * mol^-1;                                  16|9|mult|15|10|mult|sub; ((at_rad_wtd_range * at_mass_range) - (at_rad_range * at_mass_wtd_range)); $\left(\left(at_{rad, wtd, range} at_{mass, range}\right) - \left(at_{rad, range} at_{mass, wtd, range}\right)\right)$; ((at_rad_wtd_range .* at_mass_range) - (at_rad_range .* at_mass_wtd_range)); ((newdata$at_rad_wtd_range * newdata$at_mass_range) - (newdata$at_rad_range * newdata$at_mass_wtd_range)); at_rad_wtd_range,at_mass_range,at_rad_range,at_mass_wtd_range
# 1;  2; AA^-6 * eV * g * mol^-1;                          20|12|mult|4|sp|div; ((IP_wtd_mean * at_mass_wtd_std) / (L_avg^6)); $\left(\frac{ \left(IP_{wtd, mean} at_{mass, wtd, std}\right) }{ \left(L_{avg}^6\right) } \right)$; ((IP_wtd_mean .* at_mass_wtd_std) ./ (L_avg).^6); ((newdata$IP_wtd_mean * newdata$at_mass_wtd_std) / (newdata$L_avg)^6); IP_wtd_mean,at_mass_wtd_std,L_avg
# 2;  2; Unitless;                                         0|sin|28|abs|add; (sin(lambda) + (|PE_wtd_range|)); $\left(\left(\sin{ lambda }\right) + \left(\left|PE_{wtd, range}\right|\right)\right)$; (sin(lambda) + abs(PE_wtd_range)); (sin(newdata$lambda) + abs(newdata$PE_wtd_range)); lambda,PE_wtd_range
# 3;  2; W * mK^-1;                                        27|3|sub|41|37|abd|mult; ((PE_range - lambda3) * (|ThermalCond_std - ThermalCond_mean|)); $\left(\left(PE_{range} - lambda3\right) \left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right)\right)$; ((PE_range - lambda3) .* abs(ThermalCond_std - ThermalCond_mean)); ((newdata$PE_range - newdata$lambda3) * abs(newdata$ThermalCond_std - newdata$ThermalCond_mean)); PE_range,lambda3,ThermalCond_std,ThermalCond_mean
# 4;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  5.905963962651866e-01,  2.779439999997635e-03,  1.844311966650094e-02,  7.804130594336760e-01,  6.013404000000000e+01,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01, -1.213280171726945e-01, -2.282819999997798e-03,  5.011634425396388e-03, -5.273229891034208e-01, -5.016781120000031e+01, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  1.742846810701942e+00,  0.000000000000000e+00,  0.000000000000000e+00,  4.760872714465754e-01, -2.675523000000000e+00,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  2.561627842248475e+00,  0.000000000000000e+00,  7.646750083880136e-02,  6.095286809501415e-01, -2.077110000000000e+00,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  9.757122867386397e-01,  3.144829500000000e+00,  6.812859127710673e-02,  7.837779260632072e-01,  1.131232491900000e+01, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  2.850814480399504e+00,  0.000000000000000e+00,  2.909046494317191e-02,  8.175884103672617e-01, -1.082820000000000e+00,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  2.127605388008919e+00,  5.249999999623611e-06,  1.656449107354314e-02,  6.494255235092187e-01,  6.815279999999999e+00,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.421307612685411e+00,  3.799309500000001e+00,  2.572600774283477e-02,  9.992699255625662e-01, -3.698910072000001e+00, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  1.602020978159805e+00,  5.500999999999978e-04,  1.373338693729158e-03,  3.955156385927271e-01,  4.407600000000000e-01, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  2.285800065101987e+00,  0.000000000000000e+00,  0.000000000000000e+00,  6.359199817838959e-01, -7.431298999999999e+00,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  1.753779145318365e+00,  2.664000000152100e-05,  2.874079159169673e-02,  3.973588264968560e-01,  1.048800000000000e+00, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  2.556543614690259e+00,  0.000000000000000e+00,  1.442337427817452e-01,  8.897250041331763e-01,  6.074460000000000e+01,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.467006424528283e+00,  1.442679999999807e-03,  4.387810443778346e-03,  7.852294019082222e-01,  3.767520000000000e+00,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  4.761799269525222e+00,  0.000000000000000e+00,  7.220722287563375e-02,  1.410444730008063e+00,  4.536124600000334e-02,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  3.486480845586523e+00,  0.000000000000000e+00,  0.000000000000000e+00,  8.928345275539501e-01, -3.225864000000000e+01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.873711423393991e+00,  0.000000000000000e+00,  1.922929908586721e-03,  8.019284080526384e-01, -1.303080000000000e+01,  0.000000000000000e+00
S2Ta1       ,  1.488116666500000e+00,  4.262472551197368e+00,  1.675909999995895e-03,  1.195626517109596e-02,  1.324050792603148e+00, -1.778672249999985e+00, -7.834731027649989e-06
B2C2Y1      ,  1.800000000000000e+00,  1.872145711072766e+00, -1.149903359999996e+00,  2.539504362269348e-02,  8.188725245839535e-01,  7.002865391999999e+00,  1.711337967681722e-04
