# c0 + a0 * ((at_mass_mean + 2.262035e+01*L_avg) + 5.591215e+01*((at_rad_wtd_mean-1.102944e+00) / (PE_mean-2.119489e+00))) + a1 * (((ThermalCond_wtd_std+5.046536e+01) / (L_avg-3.637654e+00)) + 1.989598e+03*((PE_wtd_range-5.635723e-01) / (lambda4w_low-2.274795e+00))) + a2 * (((IP_wtd_mean+1.730467e+02) / (lambda4w_low+4.364676e-03)) + 3.775767e+01*((ThermalCond_mean-1.140462e+02) / (IP_mean-9.213561e+00))) + a3 * (((EA_wtd_range-7.366860e-01) * (lambda4w_low-6.253415e-03)) + 6.928140e-02*((EA_mean-5.841408e-01) / (density-2.626020e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.29532924665015; Max AE: 3.20803778588327
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  6.129604157499579e-03, -3.738770498616940e-03, -1.045207454715415e-04, -6.100598810341081e+01,  5.971637320076302e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       7|4|add|14|25|div|add:5.5912149579582e+01,0.0000000000000e+00,-1.1029444111065e+00,-2.1194888741603e+00,2.2620348122032e+01,0.0000000000000e+00; ((at_mass_mean + 2.262035e+01*L_avg) + 5.591215e+01*((at_rad_wtd_mean-1.102944e+00) / (PE_mean-2.119489e+00))); $\left(\left(at_{mass, mean} + 22.6L_{avg}\right) + 55.9\left(\frac{ at_{rad, wtd, mean} -1.103e+00 }{ PE_{mean}-2.119e+00 } \right)\right)$; ((at_mass_mean + (2.262035e+01.*L_avg)) + (5.591215e+01.*((at_rad_wtd_mean-1.102944e+00) ./ (PE_mean-2.119489e+00)))); ((newdata$at_mass_mean + (2.262035e+01*newdata$L_avg)) + (5.591215e+01*((newdata$at_rad_wtd_mean-1.102944e+00) / (newdata$PE_mean-2.119489e+00)))); at_mass_mean,L_avg,at_rad_wtd_mean,PE_mean
# 1;  2; AA^-1 * W * mK^-1;                                42|4|div|28|2|div|add:1.9895978004409e+03,0.0000000000000e+00,-5.6357229776950e-01,-2.2747948858555e+00,5.0465363235528e+01,-3.6376542579671e+00; (((ThermalCond_wtd_std+5.046536e+01) / (L_avg-3.637654e+00)) + 1.989598e+03*((PE_wtd_range-5.635723e-01) / (lambda4w_low-2.274795e+00))); $\left(\left(\frac{ ThermalCond_{wtd, std} +5.047e+01 }{ L_{avg}-3.638e+00 } \right) + 1.99e+03\left(\frac{ PE_{wtd, range} -5.636e-01 }{ lambda4w_{low}-2.275e+00 } \right)\right)$; (((ThermalCond_wtd_std+5.046536e+01) ./ (L_avg-3.637654e+00)) + (1.989598e+03.*((PE_wtd_range-5.635723e-01) ./ (lambda4w_low-2.274795e+00)))); (((newdata$ThermalCond_wtd_std+5.046536e+01) / (newdata$L_avg-3.637654e+00)) + (1.989598e+03*((newdata$PE_wtd_range-5.635723e-01) / (newdata$lambda4w_low-2.274795e+00)))); ThermalCond_wtd_std,L_avg,PE_wtd_range,lambda4w_low
# 2;  2; Unitless;                                         20|2|div|37|19|div|add:3.7757672690930e+01,0.0000000000000e+00,-1.1404620413556e+02,-9.2135605053659e+00,1.7304668304394e+02,4.3646760299312e-03; (((IP_wtd_mean+1.730467e+02) / (lambda4w_low+4.364676e-03)) + 3.775767e+01*((ThermalCond_mean-1.140462e+02) / (IP_mean-9.213561e+00))); $\left(\left(\frac{ IP_{wtd, mean} +1.730e+02 }{ lambda4w_{low}+4.365e-03 } \right) + 37.8\left(\frac{ ThermalCond_{mean} -1.140e+02 }{ IP_{mean}-9.214e+00 } \right)\right)$; (((IP_wtd_mean+1.730467e+02) ./ (lambda4w_low+4.364676e-03)) + (3.775767e+01.*((ThermalCond_mean-1.140462e+02) ./ (IP_mean-9.213561e+00)))); (((newdata$IP_wtd_mean+1.730467e+02) / (newdata$lambda4w_low+4.364676e-03)) + (3.775767e+01*((newdata$ThermalCond_mean-1.140462e+02) / (newdata$IP_mean-9.213561e+00)))); IP_wtd_mean,lambda4w_low,ThermalCond_mean,IP_mean
# 3;  2; eV^2;                                             34|2|mult|31|5|div|add:6.9281395901689e-02,0.0000000000000e+00,-5.8414077965344e-01,-2.6260201506030e+00,-7.3668599442282e-01,-6.2534152305768e-03; (((EA_wtd_range-7.366860e-01) * (lambda4w_low-6.253415e-03)) + 6.928140e-02*((EA_mean-5.841408e-01) / (density-2.626020e+00))); $\left(\left(\left(EA_{wtd, range}-7.367e-01\right) * \left(lambda4w_{low}-6.253e-03\right)\right) + 0.0693\left(\frac{ EA_{mean} -5.841e-01 }{ density-2.626e+00 } \right)\right)$; (((EA_wtd_range-7.366860e-01) .* (lambda4w_low-6.253415e-03)) + (6.928140e-02.*((EA_mean-5.841408e-01) ./ (density-2.626020e+00)))); (((newdata$EA_wtd_range-7.366860e-01) * (newdata$lambda4w_low-6.253415e-03)) + (6.928140e-02*((newdata$EA_mean-5.841408e-01) / (newdata$density-2.626020e+00)))); EA_wtd_range,lambda4w_low,EA_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -3.960376393134979e-01,  2.145053161638950e+02,  2.397214835991419e+02,  3.448813486131124e+04,  5.215092091235924e-02
Se2Ta1      ,  1.250000000000000e-01, -5.409216660218731e-01,  1.246308748355801e+02,  9.850550942323514e+02,  8.290745549314059e+03,  4.470130176177367e-02
Ti1         ,  1.620000000000000e-01,  1.276487297081911e+00,  8.907107569264980e+01,  6.591597481673441e+02,  3.366706782262320e+04, -1.216656940060034e-02
B1Mo1       ,  2.500000000000000e-01,  8.802604363757122e-02, -1.052155921573771e+02,  7.124397676947792e+02,  2.426112344071677e+04,  6.432459015501758e-04
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.710299921399084e+00,  1.563700229667942e+02,  4.997092665760284e+02,  3.158463896367765e+04,  8.241070988722599e-04
Pt1Te1      ,  5.900000000000000e-01,  2.522809325149972e+00,  4.788235226763387e+02,  4.968310003467591e+02,  3.614656532686136e+04,  1.226475682795878e-02
Sb1V3       ,  6.500000000000000e-01,  1.406599883292876e+00,  1.181145437884629e+02,  3.986391187493608e+02,  3.320812883558773e+04,  5.371182194599101e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.866518887620057e+00,  1.272244787229626e+02,  4.998917509703239e+02,  1.828985640122132e+04,  1.709736580981471e-03
Rh1Te2      ,  7.550000000000000e-01,  2.076354225515789e+00,  4.913884364410803e+02,  4.655570845066875e+02,  4.183791449978300e+04,  1.301115868664940e-02
Zr1         ,  9.966666670000000e-01,  1.219595720597268e+00,  1.319741948629404e+02,  7.595036726470717e+02,  2.613881267793588e+04, -1.748506836947504e-04
Be2Ta3      ,  1.000000000000000e+00,  1.094504396993231e+00,  1.883377172371948e+02,  5.291849756258339e+02,  3.832357036647982e+04,  7.779442663394098e-04
C1Si1       ,  1.075000000000000e+00,  8.926120393471988e-01, -1.232974969364022e+01,  1.383259363045998e+02,  2.148041812255304e+04,  3.673623885721276e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.422044441524425e+00,  1.356530676207940e+02,  3.855415887086414e+02,  2.464893429539745e+04,  5.955415060473247e-03
Nb1O1       ,  1.380000000000000e+00,  4.127077714003189e+00,  1.558441910718485e+02, -1.722354941426056e+02,  2.669416501970557e+04,  1.071497708055053e-02
Sb1         ,  1.416666667000000e+00,  2.399384435519130e+00, -3.994721012284020e+01,  4.082362228280094e+02,  1.598533724548182e+04,  2.135714730149347e-03
Sb1Sn1      ,  1.430000000000000e+00,  1.323978726926902e+00,  7.735809806508428e+01,  5.624488598496561e+02,  2.311568294403057e+04,  9.882595361998439e-03
S2Ta1       ,  1.488116666500000e+00,  1.371615417769496e+00,  1.312287404215837e+02,  1.107331450776237e+02,  3.729265907415026e+04,  1.790873037323647e-02
B2C2Y1      ,  1.800000000000000e+00,  2.369008376399491e+00,  1.730705936358139e+02,  2.634522285785491e+02,  3.377977331108994e+04,  2.422855038067707e-03
Re2Y1       ,  1.830000000000000e+00,  2.761158164526687e+00,  2.306016838250291e+02,  2.515278275442471e+02,  3.448786346743177e+04,  1.292892343221530e-03
S1Y1        ,  1.900000000000000e+00,  1.730332065840231e+00,  5.300566315211634e+01,  1.641566440020043e+02,  2.744495956092987e+04,  1.776706468774247e-02
Ga2Pt1      ,  1.900000000000000e+00,  1.901887147095345e+00,  1.041122351329598e+02,  4.402571420855810e+02,  2.630226564848529e+04,  5.126777619980183e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.135551866000301e+00,  3.987250437526567e+02,  6.151885370824540e+02,  2.571314186774099e+04,  4.794719979007213e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.914291232660769e+00,  1.576844639031630e+02,  1.345799538121300e+02,  3.136641483771378e+04,  3.971492272090885e-03
Be2Nb1      ,  2.150000000000000e+00,  1.441787344040779e+00,  1.458079850189298e+02,  6.031100878036943e+02,  3.134095858889883e+04, -1.755161342808654e-03
In1Te1      ,  2.206000000000000e+00,  1.965146955704856e+00,  1.270543425644027e+02,  4.800040613482450e+02,  2.356154402818786e+04,  8.654691729862973e-03
C2Cl2Y2     ,  2.300000000000000e+00,  2.324059591402893e+00,  2.100354491557671e+02, -9.231733411482983e+01,  3.077442509534022e+03,  8.127904793039234e-02
Be2Nb3      ,  2.300000000000000e+00,  1.208218065268952e+00,  1.456399494507319e+02,  5.465016403015522e+02,  3.482489755563215e+04, -4.431363227087894e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.107672108580121e+00,  1.625805904907286e+02,  8.956765970332154e+01,  3.243069790548909e+04,  2.228735803662278e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  3.714284360442485e+00,  1.799819566389877e+02,  2.583303751337101e+01,  2.860037331105934e+04,  4.502098565743084e-03
Bi1Nb3      ,  2.516666667000000e+00,  2.512923026156960e+00,  1.811532475526802e+02,  3.978114794187347e+02,  2.640727675765282e+04,  5.272890865605151e-03
Hf1In1Pd2   ,  2.630000000000000e+00,  2.942282012575080e+00,  1.774365639887341e+02,  2.810021900993536e+02,  2.927057614540173e+04,  1.145145017246896e-04
