# c0 + a0 * ((((wtd_range_at_rad-2.892797e-01)^6)-4.750012e-04) * (((wtd_std_EA+4.529988e-02) * (std_at_rad-2.277911e-02))-4.483703e-02)) + a1 * ((((range_at_mass-9.166969e+01) * (wtd_range_at_mass-9.166387e+00))+6.120318e+03) * (((L_avg-6.733676e+00) / (density-1.190421e+01))+3.123128e+00)) + a2 * ((((wtd_range_ThermalCond-2.590965e+01) / (mean_at_rad-1.112840e+00))+2.678332e+01) * (((range_at_rad-2.034221e+00) * (std_at_rad+5.780920e-01))+1.183810e+00)) + a3 * (((range_ThermalCond-1.015360e+02) / (lambda3-4.693258e-02)) - (8.199116e+02*((wtd_mean_EA+6.863007e+02) / (wtd_mean_at_mass-1.002493e+02)))) + a4 * ((|std_EA - (4.689087e-01*mean_EA+2.155683e-01)|+1.602634e-01) * (((lambda-5.151762e+01) / (wtd_mean_IP+2.983233e+01))+1.387816e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 0.848029642935668; Max AE: 2.19572371274848
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  2.051039895402623e+03, -4.677952237114153e-05,  1.219350104112954e-01,  1.845300381228294e-05,  1.101199097532724e+02,  3.673847056170597e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^7 * eV;                                        17|sp|31|18|mult|mult:-4.7500119488735e-04,-4.4837032097931e-02,4.5299877009758e-02,-2.2779110214144e-02,1.0000000000000e+00,-2.8927965074869e-01; ((((wtd_range_at_rad-2.892797e-01)^6)-4.750012e-04) * (((wtd_std_EA+4.529988e-02) * (std_at_rad-2.277911e-02))-4.483703e-02)); $\left(\left(\left(\left(wtd_{range, at, rad}-2.893e-01\right)^6\right)-4.750e-04\right) * \left(\left(\left(wtd_{std, EA}+4.530e-02\right) * \left(std_{at, rad}-2.278e-02\right)\right)-4.484e-02\right)\right)$; (((wtd_range_at_rad-2.892797e-01).^6-4.750012e-04) .* (((wtd_std_EA+4.529988e-02) .* (std_at_rad-2.277911e-02))-4.483703e-02)); (((newdata$wtd_range_at_rad-2.892797e-01)^6-4.750012e-04) * (((newdata$wtd_std_EA+4.529988e-02) * (newdata$std_at_rad-2.277911e-02))-4.483703e-02)); wtd_range_at_rad,wtd_std_EA,std_at_rad
# 1;  2; AA * cm^3 * g * mol^-2;                           10|11|mult|0|2|div|mult:6.1203178853776e+03,3.1231277202057e+00,-6.7336759980712e+00,-1.1904214011460e+01,-9.1669694322668e+01,-9.1663866713008e+00; ((((range_at_mass-9.166969e+01) * (wtd_range_at_mass-9.166387e+00))+6.120318e+03) * (((L_avg-6.733676e+00) / (density-1.190421e+01))+3.123128e+00)); $\left(\left(\left(\left(range_{at, mass}-9.167e+01\right) * \left(wtd_{range, at, mass}-9.166e+00\right)\right)+6.120e+03\right) * \left(\left(\frac{ L_{avg} -6.734e+00 }{ density-1.190e+01 } \right)+3.123e+00\right)\right)$; ((((range_at_mass-9.166969e+01) .* (wtd_range_at_mass-9.166387e+00))+6.120318e+03) .* (((L_avg-6.733676e+00) ./ (density-1.190421e+01))+3.123128e+00)); ((((newdata$range_at_mass-9.166969e+01) * (newdata$wtd_range_at_mass-9.166387e+00))+6.120318e+03) * (((newdata$L_avg-6.733676e+00) / (newdata$density-1.190421e+01))+3.123128e+00)); range_at_mass,wtd_range_at_mass,L_avg,density
# 2;  2; AA * W * mK^-1;                                   41|14|div|16|18|mult|mult:2.6783319729253e+01,1.1838099320430e+00,-2.0342207310532e+00,5.7809199218145e-01,-2.5909653542809e+01,-1.1128400696559e+00; ((((wtd_range_ThermalCond-2.590965e+01) / (mean_at_rad-1.112840e+00))+2.678332e+01) * (((range_at_rad-2.034221e+00) * (std_at_rad+5.780920e-01))+1.183810e+00)); $\left(\left(\left(\frac{ wtd_{range, ThermalCond} -2.591e+01 }{ mean_{at, rad}-1.113e+00 } \right)+2.678e+01\right) * \left(\left(\left(range_{at, rad}-2.034e+00\right) * \left(std_{at, rad}+5.781e-01\right)\right)+1.184e+00\right)\right)$; ((((wtd_range_ThermalCond-2.590965e+01) ./ (mean_at_rad-1.112840e+00))+2.678332e+01) .* (((range_at_rad-2.034221e+00) .* (std_at_rad+5.780920e-01))+1.183810e+00)); ((((newdata$wtd_range_ThermalCond-2.590965e+01) / (newdata$mean_at_rad-1.112840e+00))+2.678332e+01) * (((newdata$range_at_rad-2.034221e+00) * (newdata$std_at_rad+5.780920e-01))+1.183810e+00)); wtd_range_ThermalCond,mean_at_rad,range_at_rad,std_at_rad
# 3;  2; W * mK^-1;                                        40|7|div|27|9|div|sub:8.1991159658391e+02,0.0000000000000e+00,6.8630065337898e+02,-1.0024925757102e+02,-1.0153600620920e+02,-4.6932582529164e-02; (((range_ThermalCond-1.015360e+02) / (lambda3-4.693258e-02)) - (8.199116e+02*((wtd_mean_EA+6.863007e+02) / (wtd_mean_at_mass-1.002493e+02)))); $\left(\left(\frac{ range_{ThermalCond} -1.015e+02 }{ lambda3-4.693e-02 } \right) - \left(8.199e+02\left(\frac{ wtd_{mean, EA} +6.863e+02 }{ wtd_{mean, at, mass}-1.002e+02 } \right)\right)\right)$; (((range_ThermalCond-1.015360e+02) ./ (lambda3-4.693258e-02)) - (8.199116e+02.*((wtd_mean_EA+6.863007e+02) ./ (wtd_mean_at_mass-1.002493e+02)))); (((newdata$range_ThermalCond-1.015360e+02) / (newdata$lambda3-4.693258e-02)) - (8.199116e+02*((newdata$wtd_mean_EA+6.863007e+02) / (newdata$wtd_mean_at_mass-1.002493e+02)))); range_ThermalCond,lambda3,wtd_mean_EA,wtd_mean_at_mass
# 4;  2; Unitless;                                         30|26|abd|5|21|div|mult:1.6026338976244e-01,1.3878162340256e+00,-5.1517616418738e+01,2.9832333785090e+01,4.6890871770891e-01,2.1556833407262e-01; ((|std_EA - (4.689087e-01*mean_EA+2.155683e-01)|+1.602634e-01) * (((lambda-5.151762e+01) / (wtd_mean_IP+2.983233e+01))+1.387816e+00)); $\left(\left(\left(\left|std_{EA} - \left(4.689e-01mean_{EA}+2.156e-01\right)\right|\right)+1.603e-01\right) * \left(\left(\frac{ lambda -5.152e+01 }{ wtd_{mean, IP}+2.983e+01 } \right)+1.388e+00\right)\right)$; ((abs(std_EA - (4.689087e-01.*mean_EA+2.155683e-01))+1.602634e-01) .* (((lambda-5.151762e+01) ./ (wtd_mean_IP+2.983233e+01))+1.387816e+00)); ((abs(newdata$std_EA - (4.689087e-01*newdata$mean_EA+2.155683e-01))+1.602634e-01) * (((newdata$lambda-5.151762e+01) / (newdata$wtd_mean_IP+2.983233e+01))+1.387816e+00)); std_EA,mean_EA,lambda,wtd_mean_IP
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  1.772369978582853e+00, -5.609200120982116e-04,  2.167789182778098e+04,  1.861472159341247e-01,  1.582117514934874e+04, -4.683294519761473e-04
B1Mo1       ,  2.500000000000000e-01,  1.281728923060109e+00, -2.218939727513528e-05,  2.167617226687092e+04, -2.270060867112095e+01,  1.212673240989730e+04,  1.100271975716961e-02
Cr3Ir1      ,  2.560000000000000e-01,  8.155372598431685e-01, -1.831174979496458e-04,  1.158562387685459e+05, -3.794452105158502e-02,  4.267837498237129e+04,  1.956098188753589e-02
Al1Os1      ,  3.900000000000000e-01,  8.146459528444834e-01,  4.591675213117959e-06,  6.899361583045548e+03, -1.690054033838044e+01, -6.701586259942284e+04,  6.824756385807935e-03
Al1Mo3      ,  5.800000000000000e-01,  4.657578602019889e-01, -6.679848084934586e-04,  1.776554047108428e+04, -8.382986335112532e+00,  2.684549309760901e+04, -4.360361971073701e-03
Nb3Os1      ,  6.633333330000000e-01, -2.065840982787434e-01, -1.326582421766442e-03,  3.437672207004463e+04, -6.009392343064598e-01, -3.362594500313339e+04,  1.037363889909864e-02
Ti1O1       ,  7.200000000000000e-01,  1.972318492732760e+00, -1.252053969007664e-04,  2.134424461087618e+04, -3.115697681245785e+01,  1.001675443785877e+04,  2.876894251253994e-02
Ga1Mo3      ,  7.600000000000000e-01, -5.435149353011150e-02, -4.415932546376241e-04,  1.253953163940152e+04, -2.385291960805129e+01,  5.228350953269129e+04, -2.653123006389926e-03
La1Se1      ,  1.020000000000000e+00,  1.372561354452125e+00, -1.337312572836761e-04,  1.767810336267756e+04, -4.732600350476567e-02, -9.391298354030101e+04,  4.892149069097251e-03
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.762756251933376e+00, -4.258549792631685e-06,  1.903505155926130e+04, -6.032620249779162e+00,  1.400537794887841e+04,  4.224854459650451e-03
Co1Si2      ,  1.306666667000000e+00,  1.550158636673437e+00,  1.244472568787400e-05,  2.206643365839526e+04, -2.766288758963822e+01,  1.342746065810601e+04,  1.823777086849564e-02
Cr1         ,  1.550000000000000e+00,  1.955014293163992e+00, -5.091995428172005e-06,  2.667782101524059e+04, -5.231375756540525e-01,  9.368745026128403e+03, -5.171688348328611e-03
Hg2Na1      ,  1.620000000000000e+00,  1.354707589694441e+00,  1.640292235559646e-06,  6.536788379034922e+04, -5.615054124605449e+00, -1.351867722760532e+04,  1.516080516353290e-02
Ga2Y1       ,  1.680000000000000e+00,  2.385728966603850e+00,  1.396953677566426e-05,  1.982306170502057e+04,  3.545811537368349e-02,  2.327022952052080e+04, -7.475360540032241e-03
Be2Nb1      ,  2.150000000000000e+00,  5.850470296103514e-01, -3.825367445593398e-05,  1.889289356124925e+04, -2.789786549423091e+01,  9.544966889488987e+03,  9.980516097890496e-03
Ge1Mo3      ,  2.179200000000000e+00,  1.895793962661486e+00, -9.729000814663271e-05,  1.237436310163569e+04, -2.283665800275900e+01,  5.512508454590155e+04,  6.971710455748255e-03
B1Hf1       ,  3.100000000000000e+00,  2.775259557209954e+00, -1.572067504082453e-05,  6.461790208112558e+04, -2.338785948679444e+00,  9.473028949868221e+04,  6.298337203591424e-03
B1Zr1       ,  3.100000000000000e+00,  3.563163257778824e+00, -3.154108657702685e-06,  1.972534144124416e+04, -2.338785948679444e+00,  8.803460635255578e+03,  8.547564686313149e-03
C1In1Ti2    ,  3.100000000000000e+00,  3.589968376446815e+00,  1.022868746509006e-04,  2.362014528583702e+04,  9.542549212932073e-01,  1.205322182017556e+04,  4.290693149833886e-03
Pt0.25V0.75 ,  3.102500000000000e+00,  3.905641632478660e+00,  1.241761061392153e-04,  2.810403818813651e+04,  2.023766057727256e-01,  4.232594184989548e+04,  4.414100528639399e-03
Sn1         ,  3.740729412000000e+00,  2.989640511105241e+00, -5.091995428172005e-06,  2.191841402051376e+04, -5.231375756540525e-01, -2.725201817947411e+04,  8.338552609306582e-03
Sn1V3       ,  4.462500000000000e+00,  3.712074971468853e+00, -5.198448215506653e-04,  2.165527308117787e+04,  1.276305006462937e+00,  1.739179549430757e+04,  1.490117986963348e-02
B2Nb1       ,  4.597500000000000e+00,  4.659502701548488e+00, -2.396168093403034e-06,  2.281417320932316e+04,  4.136123805440527e+00,  8.819339315908474e+03,  1.262918585364878e-02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.464353736552679e+00, -8.281519422395965e-05,  1.956980517502376e+04,  7.284392281167795e+00,  1.115841262935284e+04, -1.982371700602458e-03
Fe1Li1P1    ,  4.965000000000000e+00,  3.811079524518996e+00,  7.646254277363851e-06,  1.987924303945569e+04, -2.073418315610799e+00,  8.581573710724382e+03,  1.040645296867622e-02
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.164434321674049e+00, -8.514220584924336e-05,  1.984085642534996e+04,  3.508565786280995e+00,  1.465129105126206e+04,  1.721020097490669e-02
Os0.5V0.5   ,  5.150000000000000e+00,  4.586258950108149e+00,  9.829194151632172e-06,  1.566407125812723e+04, -8.948405428080175e-01, -2.774602196092666e+04,  2.039703302874598e-02
Ir1Ti3      ,  5.185000000000000e+00,  5.170073025947715e+00,  2.552711216114628e-05,  2.325310533582490e+04, -8.204577469085812e-01,  3.455855535685436e+04,  1.810727397259757e-02
Ir1Mo1      ,  5.325000000000000e+00,  5.157967591555195e+00,  8.913982015199639e-06,  1.565185882915468e+04,  1.205923332858812e+00, -1.478228217919642e+04,  2.110206340850591e-02
La1         ,  5.343000000000000e+00,  4.112002514723330e+00, -5.091995428172005e-06,  2.196425706636250e+04, -2.243040093895601e-03, -1.457010812158154e+04,  1.584829272803494e-02
N1Ti1       ,  5.387500000000000e+00,  7.583223712748478e+00,  4.161775244834652e-06,  1.988390756237179e+04, -4.307773878759058e+00,  7.844586033496983e+03,  4.732579854637894e-02
B6Y1        ,  5.692857143000000e+00,  5.265162321097790e+00,  7.722929194569859e-06,  2.136183538169117e+04,  6.862400405227075e-01,  6.778554887663692e+03,  2.148576315398137e-02
Nb1S2       ,  5.821818182000000e+00,  6.884679015601649e+00, -4.976956873516959e-05,  2.097370052893778e+04,  6.074067590095160e-01,  1.477084076568180e+04,  3.584656491259216e-02
Ge1V3       ,  6.680000000000000e+00,  6.064257306069484e+00,  2.377777070916949e-04,  1.892798622732372e+04,  3.571726604143211e+00,  1.282800690618624e+04,  1.921475476426262e-02
Sn1Ta3      ,  6.692500000000000e+00,  6.726294465419237e+00,  4.728568415823064e-04,  8.575023764267111e+03, -2.164855592195561e+00, -8.649824613026527e+03,  2.640141660676881e-02
Al1Ge1Sr1   ,  6.700000000000000e+00,  6.337339335482380e+00, -7.345636037383674e-05,  1.972075659383319e+04, -1.407247468994279e+00,  1.488447212274039e+04,  3.299686043483169e-02
